维修工单号,问题描述,故障件,解决方案,是否质量工单
WO0017181153,闪绿灯不出水,故障件待定,解决方案待定,质量工单
WO0017178045,进水三通漏水,进水三通,更换进水三通,非质量工单
WO0017147838,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017138392,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017238894,第一杯水TDS值高,无明确故障件,解释说明，业务端加强宣贯,非质量工单
WO0017198016,出水气泡，接头松动,无明确故障件,解释 ，紧固接头,非质量工单
WO0017257293,闪绿灯不出水,无明确故障件,开鉴定单退机,非质量工单
WO0017264403,龙头开关旋转生涩,水龙头,更换水龙头,质量工单
WO0017263050,废水管弹出,无明确故障件,重装废水管,非质量工单
WO0017243545,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017269804,漏水保护,漏保开关,复位漏保开关,非质量工单
WO0017223879,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017214620,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017267831,水质问题,无明确故障件,检测水质正常,非质量工单
WO0017235088,用户下水问题,无明确故障件,重新安装,非质量工单
WO0017222221,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017228762,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017287893,用户下水问题,无明确故障件,疏通下水道,非质量工单
WO0017291169,水龙头漏水,水龙头,更换水龙头,质量工单
WO0017247790,漏水保护,漏保开关,复位漏保开关,非质量工单
WO0017295540,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017295535,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017237480,闪绿灯,无明确故障件,上门检测正常,非质量工单
WO0017246788,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017229451,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017310010,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017309274,快插接头漏水,快插接头,更换快插接头,非质量工单
WO0017296778,闪绿灯不出水,金属三通,检修,非质量工单
WO0017304235,闪绿灯不出水,故障件待定,解决方案待定,质量工单
WO0017308103,水路板渗水,水路板,开鉴定单换机,非质量工单
WO0017259703,闪绿灯不出水,无明确故障件,开鉴定单退机,非质量工单
WO0017210714,水龙头开裂,水龙头,更换水龙头,质量工单
WO0017301250,废水管弹出,无明确故障件,重装废水管,非质量工单
WO0017306349,出水水质问题,无明确故障件,解释说明,非质量工单
WO0017325155,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017335477,闪绿灯不出水,无明确故障件,重启,非质量工单
WO0017338934,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017293013,水质检测,无明确故障件,检测水质正常,非质量工单
WO0017297292,不出水,无明确故障件,重新安装,非质量工单
WO0017213024,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017338028,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017304414,自动排废水,无明确故障件,解释说明,非质量工单
WO0017298133,水龙头漏水,水龙头,开鉴定单换机,非质量工单
WO0017306445,噪音/异响,无明确故障件,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017320107,进水三通漏水,进水三通,更换进水三通,非质量工单
WO0017377191,自动冲洗,无明确故障件,调试,质量工单
WO0017382432,E8报警,插线端子,开鉴定单换机,质量工单
WO0017330002,不出水,无明确故障件,无具体解决方案,非质量工单
WO0017210895,漏水,无明确故障件,无具体解决方案,非质量工单
WO0017393526,指示灯不亮,故障件待定,开鉴定单换机,质量工单
WO0017402100,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017343305,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017414342,E8报警,线束端子,开鉴定单换机,质量工单
WO0017415807,金属阀损坏,金属阀,更换,非质量工单
WO0017416508,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017351956,TDS值不显示,故障件待定,解决方案待定,质量工单
WO0017353385,出水量小,无明确故障件,无具体解决方案,非质量工单
WO0017335515,闪绿灯不出水,接线端子,接线端子重接,质量工单
WO0017436637,漏水,无明确故障件,重装废水管,非质量工单
WO0017434522,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017382507,TDS值高,无明确故障件,冲洗,非质量工单
WO0017440394,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017376638,频繁启动,无明确故障件,开鉴定单退机,非质量工单
WO0017453390,不出水,漏报开关,重装漏保,非质量工单
WO0017456940,内部漏水,复合滤芯漏水,重装,质量工单
WO0017403733,水泵不工作,水泵,开鉴定单换机,质量工单
WO0017392346,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017458371,不出水,无明确故障件,重装滤芯,非质量工单
WO0017454069,龙头接头漏水处,水龙头接头,更换接头,非质量工单
WO0017459779,EE报警,水龙头,断电重启,非质量工单
WO0017468756,机器漏水,无明确故障件,重装滤芯,非质量工单
WO0017406852,内部漏水,无明确故障件,开鉴定单退机,非质量工单
WO0017420662,水压高,无明确故障件,加装减压阀,非质量工单
WO0017481367,TDS值不显示,线束端子,开鉴定单退机,质量工单
WO0017483322,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017418962,闪绿灯不出水,接线端子,开鉴定单换机,非质量工单
WO0017434274,NAC松脱,无明确故障件,解决方案待定,质量工单
WO0017486013,渗水,PE管,重装,非质量工单
WO0017487633,EE报警,龙头线,龙头线重装,非质量工单
WO0017466425,闪绿灯不出水,无明确故障件,加装减压阀,非质量工单
WO0017384471,频繁冲洗,无明确故障件,开鉴定单退机,非质量工单
WO0017440321,TPU管爆裂,TPU管,用PE管代替更换,质量工单
WO0017289775,水龙头掉色,水龙头,更换水龙头,非质量工单
WO0017503214,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017498314,测试废水、纯水量,无明确故障件,上门测试废水、纯水量,非质量工单
WO0017514165,漏报误报,漏保开关,复位漏保开关,非质量工单
WO0017517072,检测水质,无明确故障件,无具体解决方案,非质量工单
WO0017457514,噪音/异响,无明确故障件,清理管路,非质量工单
WO0017524039,不出水，电磁阀卡住,无明确故障件,清洗,非质量工单
WO0017527369,增压泵卡爪处漏水,卡爪,更换卡爪,质量工单
WO0017480585,金属三通滴水,无明确故障件,重装,非质量工单
WO0017466755,上门测分贝,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017476107,开鉴定单,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,非质量工单
WO0017518396,不出水,无明确故障件,打开进水三通,非质量工单
WO0017492635,检测水质,无明确故障件,上门检测水质合格,非质量工单
WO0017422640,不出水,无明确故障件,开鉴定单退机,非质量工单
WO0017549911,EF报警,无明确故障件,重插龙头线,非质量工单
WO0017499346,不出水,无明确故障件,重插电源线,非质量工单
WO0017560841,闪绿灯不出水,无明确故障件,开鉴定单换机,质量工单
WO0017514238,不出水,无明确故障件,清洗进水电磁阀,非质量工单
WO0017514368,滤芯取不出,无明确故障件,开鉴定单退机,非质量工单
WO0017521199,闪绿灯不出水,无明确故障件,换减压阀,非质量工单
WO0017518637,不出水,无明确故障件,更换高压开关,质量工单
WO0017520987,内部漏水,无明确故障件,开鉴定单退机,质量工单
WO0017569812,出水小,无明确故障件,更换接头,非质量工单
WO0017589213,TDS值不显示,TDS传感器接线端子,重接,质量工单
WO0017540624,不出水,无明确故障件,滤芯复位,非质量工单
WO0017600612,通水试机,无明确故障件,通水试机,非质量工单
WO0017551454,金属三通漏水,无明确故障件,加固金属阀,非质量工单
WO0017608886,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017607806,废水长流,无明确故障件,无具体解决方案,非质量工单
WO0017613912,龙头松动,无明确故障件,固定龙头,非质量工单
WO0017563526,不出水,无明确故障件,重启,非质量工单
WO0017619907,不出水,无明确故障件,打开角阀,非质量工单
WO0017577081,频繁冲洗,无明确故障件,开鉴定单换机,质量工单
WO0017579716,TDS值不显示,无明确故障件,更换水龙头,质量工单
WO0017578070,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017552857,内部漏水,无明确故障件,开鉴定单换机,非质量工单
WO0017512032,TDS值不显示,无明确故障件,开鉴定单换机,质量工单
WO0017636954,不出水,漏保开关,复位漏保开关,非质量工单
WO0017626214,漏水,无明确故障件,快插接头重插,非质量工单
WO0017636469,不出水,减压阀,更换减压阀,非质量工单
WO0017642698,不出水,无明确故障件,上门检查机器正常,非质量工单
WO0017642254,水管不够长,无明确故障件,PE管加长,非质量工单
WO0017631391,不出水,无明确故障件,清洗进水电磁阀,非质量工单
WO0017568360,出水小,无明确故障件,开鉴定单换机,非质量工单
WO0017647713,不出水,无明确故障件,重新连接进水三通,非质量工单
WO0017655846,不出水,无明确故障件,滤芯复位,非质量工单
WO0017654166,EE报警,无明确故障件,开鉴定单换机,质量工单
WO0017658459,漏水保护,漏保开关,复位漏保开关,非质量工单
WO0017602779,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017661274,漏水保护,漏保开关,复位漏保开关,非质量工单
WO0017657083,进水口渗水,无明确故障件,拆管重插,非质量工单
WO0017658299,三通漏水,无明确故障件,加垫片修复,非质量工单
WO0017569560,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017601355,噪音/异响,无明确故障件,增加隔音棉,非质量工单
WO0017603460,闪绿灯不出水,主控板,开鉴定单换机,质量工单
WO0017655665,三通漏水,无明确故障件,更换三通,非质量工单
WO0017581503,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017606431,EE报警,TDS传感器,更换传感器,质量工单
WO0017685400,闪绿灯不出水,无明确故障件,断电重启,非质量工单
WO0017552373,纯水小,无明确故障件,开鉴定单退机,非质量工单
WO0017617179,TDS值不显示,线束端子,开鉴定单换机,质量工单
WO0017650429,金属进水三通堵塞,无明确故障件,清理金属进水三通,非质量工单
WO0017691084,不出水,无明确故障件,断电重启正常,非质量工单
WO0017696200,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017696497,不出水,无明确故障件,打开进水阀,非质量工单
WO0017700664,EE故障,无明确故障件,断电重启正常,非质量工单
WO0017626476,噪音/异响,无明确故障件,开鉴定单退机,非质量工单
WO0017627000,噪音/异响,无明确故障件,开鉴定单换机,非质量工单
WO0017636813,不出水,无明确故障件,检查水路,非质量工单
WO0017641159,不出水,无明确故障件,清洗进水三通,非质量工单
WO0017691793,E8报警,故障件待定,解决方案待定,质量工单
WO0017641758,TDS值不显示,无明确故障件,开鉴定单换机,质量工单
WO0017648925,不出纯水，排废水,逆止阀,逆止阀增加定位,质量工单
WO0017708742,不出水,漏报开关,漏报复位,非质量工单
WO0017714013,漏水,无明确故障件,重新插管,非质量工单
WO0017652083,闪绿灯不出水,逆止阀,逆止阀增加定位,质量工单
WO0017656138,噪音/异响,无明确故障件,加减震垫,非质量工单
WO0017714627,噪音/异响,无明确故障件,上门检测正常,非质量工单
WO0017723002,废水不停,故障件待定,开鉴定单换机,质量工单
WO0017744097,异响,故障件待定,开鉴定单换机,质量工单
WO0017745884,龙头不显示,故障件待定,开鉴定单换机,质量工单
WO0017688822,TDS值不显示,TDS传感器接线端子,线束端子重接,质量工单
WO0017690189,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017751689,龙头松动,无明确故障件,重新安装,非质量工单
WO0017755985,内部漏水,无明确故障件,重装滤芯,非质量工单
WO0017677812,不出水,漏保开关,取消漏保,非质量工单
WO0017697028,E8报警,无明确故障件,开鉴定单换货,质量工单
WO0017708950,调试,无明确故障件,调试,非质量工单
WO0017756519,闪绿灯不出水,闪绿灯不出水,开鉴定单换货,质量工单
WO0017769294,龙头不显示,故障件待定,解决方案待定,质量工单
