工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018236209,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 程序升级/程序烧录；来电: 维修，噪音大，师傅已上门；诊断: 噪音大；方案: 检测
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 技术规格变更记录/配置变更单；现场诊断/检测报告",nan,净水机,安全维护,程序升级/程序烧录,nan,nan,nan,维修，噪音大，师傅已上门,噪音大,检测,非质量工单
WO0018236702,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装压力桶；来电: 18317591379服务商代报维修，加装储水罐；诊断: 机器平凡启动；方案: 加装压力桶
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装压力桶,净水机,安全维护,加装压力桶,压力桶总成,nan,nan,18317591379服务商代报维修，加装储水罐,机器平凡启动,加装压力桶,非质量工单
WO0018236724,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 改善口感，增加后置活性炭；来电: 经销商代报维修 出水有臭味；诊断: 出水臭；方案: 加装后置碳客户有
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户特殊要求单/邮件/沟通记录；安装/调试记录或工单说明",nan,净水机,安全维护,改善口感，增加后置活性炭,nan,nan,nan,经销商代报维修 出水有臭味,出水臭,加装后置碳客户有,非质量工单
WO0018237579,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 线上销售的产品质量鉴定；来电: 上门确定机器是否属于质量问题，若是质量问题请开鉴定单；诊断: TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，；方案: TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户特殊要求单/邮件/沟通记录",产品鉴定,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,上门确定机器是否属于质量问题，若是质量问题请开鉴定单,TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，,TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，,非质量工单
WO0018237666,开鉴定单,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,13770601145服务商代报，异响。,开鉴定单,开鉴定单,质量工单
WO0018238278,加装后置碳,改善口感，增加后置活性炭,nan,净水机,安全维护,改善口感，增加后置活性炭,nan,nan,nan,烧水有异味    有退机意向,水有味,加装后置碳
WO0018239228,用户要求换机,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,显示板故障，请核实机器故障情况，如质量问题属实且不接受维修，麻烦开具质量鉴定单,显示屏坏了,用户要求换机,质量工单
WO0018239300,线上要开鉴定单,产品鉴定,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,漏水，请核实机器故障情况，如质量问题属实且不接受维修，麻烦开具质量鉴定单,机器内部漏水,线上要开鉴定单,质量工单
WO0018239338,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 保养件保养包更换(PE管+接头)；来电: 维修；诊断: 保养包；方案: nan
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",保养件保养包更换(PE管+接头),净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,nan,nan,维修,保养包,nan,非质量工单
WO0018239556,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 加装排水盒总成；来电: 维修 加装水盒子，师傅已上门；诊断: 连接管线机tds值过高；方案: 免费加装排水盒总成
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 安装/调试记录或工单说明",加装排水盒总成,净水机,安全维护,加装排水盒总成,排水盒总成,nan,nan,维修 加装水盒子，师傅已上门,连接管线机tds值过高,免费加装排水盒总成,非质量工单
WO0018240765,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 程序升级/程序烧录；来电: 故障类型：出水故障；诊断: 滤芯复位；方案: 滤芯复位
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 技术规格变更记录/配置变更单",nan,净水机,安全维护,程序升级/程序烧录,nan,nan,nan,故障类型：出水故障,滤芯复位,滤芯复位,非质量工单
WO0018241153,"具体排除的质量问题类型: 产品制造/设计/来料缺陷；零部件固有质量不达标
关键判断因素分析: 服务/现象: 线上销售的产品质量鉴定；来电: 经销商代报维修；诊断: 不会反冲洗；方案: 清洗前置
相关训练案例参考: 参考训练案例：安装/调试/维护/耗材更换类样本的标注倾向
置信度评分: 65%
证明材料或说明文档: 客户需求文档；技术规格变更记录；安装/调试记录；现场诊断报告",nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,nan,nan,经销商代报维修,不会反冲洗,清洗前置,非质量工单
