工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017584311,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2024-12-28 09:16:06,,2024-06-07 00:00:00,"净饮机 台式净饮机,JY3491TK-ROK(降本版),2024款(奶杏色)",电商事业部,,净饮机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,出水温度不够上门检测    请先电话联系客户,顾客反馈水的温度达不到,上冂测量温度泡奶41度，沸水96度，都正常，已与顾客解释清楚
WO0017838491,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-06-05 08:39:50,2025-06-19 19:13:55,2025-06-19 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,确定机器质量问题 开鉴定单,机子故障噪音大,客户要求退机
WO0017652714,非质量工单,Rule 3: 最终安全网,保内,2024-12-29 13:25:57,2025-03-02 11:10:08,2025-03-02 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,13786297575服务商代报维修 出水有异味   师傅已上门 ,下水道返味,换PE管
WO0017828918,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-09-19 15:34:35,2024-12-16 18:09:36,2024-12-16 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"快插三通 J3669-ROC90,T型，PTC040406(1/4/*1/4*3/8)(白色)",净水机,水路结构类,,上门维修,,,18052763500服务商代报维修 漏水,三通密封不严，导致漏水,更换新的三通
WO0017625783,非质量工单,Rule B.1: 外部加装,保内,2024-09-29 20:13:29,2025-06-06 17:35:37,2025-06-06 00:00:00,"净水设备 反渗透厨下式净水机,J3669-ROC90，线下渠道，白色、全盖(白色)",消费者事业部,,净水机,安全维护,加装压力桶,上门维修,,"压力桶 J2505-ROB8,3.0G 快插式，塑胶压力桶(白色)",18956793779售后代报维修加装压力桶,有水垢，加罐,
WO0017868833,质量工单,Rule A.3: 核心部件更换,保内,2025-03-31 21:55:28,,2025-04-15 17:29:12,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",来电号码:18637244218;故障信息:机器故障具体故障问题请师傅先联系确认,显示E8,
WO0017846590,非质量工单,Rule 3: 最终安全网,保内,2025-02-27 09:04:49,2025-06-23 14:52:17,2025-06-23 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"微电脑显示板 Y3611BK-G,安吉尔壁挂管线机/80*135.5*1.5mm/刷胶(/)",饮水机,电气类,,上门维修,,,经销商代报 出水温度低于机器显示温度 预约维修,沸水温度低,调整沸水参数
WO0017664047,非质量工单,Rule 3: 最终安全网,保内,2025-04-23 13:54:10,2025-05-12 12:59:54,2025-05-12 00:00:00,"管线饮水机 立式制热单温管线机,Y2611BK-K-G c(黑色)(黑色)",商用事业部,翘板开关 K10-2黑边红按(印1-0)16A/250VAC(/),饮水机,电气类,,上门维修,,,,,已修复
WO0017494577,质量工单,Rule A.2: 只换不修/鉴定政策，命中关键词：“换机”,保内,2024-12-18 19:29:46,2025-03-05 10:45:38,2025-03-05 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,,净水机,产品鉴定,只换不修政策产品质量鉴定,上门维修,,,水龙头不显示，保内,龙头不出水  初步判断主板问题,客户想换机  不愿意维修
WO0017446846,质量工单,Rule A.4: 滤芯质量缺陷，命中关键词：“黑点”,保外转保内,2025-01-18 13:06:54,2025-03-14 15:52:56,2025-03-14 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",07503760520服务商代报维修 出水有黑点,出水有很多黑色物体,更换复合滤芯后，此问题解决
WO0017769292,质量工单,Rule A.3: 核心部件更换,保内,2024-10-10 14:30:59,2025-01-20 11:50:32,2025-01-20 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",来电号码:18805905633;故障信息:不通电,不通电,
WO0017610689,质量工单,Rule A.3: 核心部件更换,保内,2024-12-31 08:52:59,2025-02-24 15:50:49,2025-02-24 00:00:00,"管线饮水机 立式制热单温管线机,Y2611BK-K-G c(黑色)(黑色)",商用事业部,温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),饮水机,电气类,,上门维修,温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),21019489服务商代报维修，换温控器,改温控器,更换
WO0017686659,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2025-02-28 14:03:51,2025-03-17 09:22:40,2025-03-17 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"PP复合滤芯成品-SP（带滤芯座） J3507-ACF1000,175*155*370 mm,包含：滤桶、滤桶盖、PP复合滤芯总成、包装胶袋、产品包装箱等（白底+银字）",净水机,滤芯类,,上门维修,"PP复合滤芯成品-SP（带滤芯座） J3507-ACF1000,175*155*370 mm,包含：滤桶、滤桶盖、PP复合滤芯总成、包装胶袋、产品包装箱等（白底+银字）","PP复合滤芯成品-SP（带滤芯座） J3507-ACF1000,175*155*370 mm,包含：滤桶、滤桶盖、PP复合滤芯总成、包装胶袋、产品包装箱等（白底+银字）",07593362827服务商代报，机器出水小，保内,出水小，ACF复合滤芯堵塞,2025年3月17号安装的机器，使用不到三个月报修，安排上门检测发现是ACF复合滤芯堵塞，大龙头一分钟出水量不到2升，符合滤芯核销申请，特申请免费更换滤芯给客人，望领导们审批，谢谢！
WO0017691132,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-10-17 16:51:24,2025-05-22 13:53:27,2025-05-22 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,15704438861服务商代报漏水，保内。,废水管脱出,重新固定废水管
WO0017803324,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-03 16:17:45,2025-06-10 10:38:51,2025-06-10 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,快插压力桶球阀-HB PVN0604 3/8*1/4m(白蓝色),净水机,水路结构类,,上门维修,,,漏水 保内请联系,压力桶角阀漏水,缠生胶带固定好压力桶球阀
WO0017814459,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-31 21:55:28,2025-04-20 14:19:24,2025-04-20 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,确定机器质量问题开单吧,不出水，绿灯闪烁，龙头灯闪烁,用户不同意维修，鉴定换机
WO0017625964,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-11-08 13:05:21,2025-03-04 13:19:06,2025-03-04 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"电控龙头J3540-R0C120H,A92731全新多功能（彩屏/数码/三色灯显示)，净沸水一体适配供电3.3V，两进一出，管外露1.2米，常温水3分快插，热水2分快插",净饮机,电气类,,上门维修,,,18326018147服务商代报维修 故障E3,机器龙头报E3,机器重新上电重启
WO0017796562,非质量工单,Rule 3: 最终安全网,保内,2025-06-05 08:39:50,2025-06-18 15:23:18,2025-06-18 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,一上午坏了两次了 一直需要重启,不定时保护,退货
WO0017903632,质量工单,Rule A.3: 核心部件更换,保内,2025-04-24 16:35:08,2025-07-01 12:02:14,2025-07-01 00:00:00,"净水设备 反渗透厨下式净水机,J3673-ROC120 b，玉龙SE，446*146*388mm(安吉尔白+秋驼色)",电商事业部,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",净水机,水路结构类,,上门维修,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)","金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",维修，漏水，师傅已上门。,进水三通乱丝，紧不紧,换三通
WO0017864760,非质量工单,Rule 3: 最终安全网,保内,2025-06-05 15:46:47,2025-06-27 16:49:07,2025-06-27 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,,饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,经销商代报/型号：Y3611灰 ，客户反馈机器面板不显示完整温度数值报维修,数字不全,不同意维修，要求换机
WO0017614611,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-10-31 10:53:07,,2024-12-18 13:56:48,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净饮机,水路结构类,,上门维修,,,经销商微信代报维修，龙头显示E3,设备版本升级,设备版本升级
WO0017852020,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-01-02 18:25:23,2025-06-23 13:15:24,2025-06-23 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,密封圈 O型，Ф8.76*Ф2.8mm(黑色),净水机,水路结构类,,上门维修,,,13191889490用户来电净水机噪音大，管线机出水小，反馈就是不正常要上门，保内，优先联系15833914566,机器正常,机器正常没问题
WO0017587556,质量工单,Rule A.2: 只换不修/鉴定政策，命中关键词：“退货”,保内,2025-04-17 14:55:27,,2025-06-05 00:00:00,"台式净饮机 台式净饮机,JY3693-ROT8H(迷你台式净饮机)(ANGEL白)",电商事业部,,净饮机,产品鉴定,只换不修政策产品质量鉴定,上门维修,,,经销商微信代报维修.天猫安吉尔锦瑞专卖店.T1 机器用水，底部就会渗水，预约师傅上门维修,漏水,机器内部漏水，客户不接受拆机检查维修，要求退货处理
WO0017878795,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2025-04-23 11:13:36,2025-06-13 15:31:45,2025-06-13 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"灯显龙头 J3569-ROC120,2分PE管转3分快插口，一进一出，外露配线长1.4m，带LED灯显示及霍尔开关，LED灯供电：5V(原色)",净水机,电气类,,上门维修,,,客户留言:水管固定不劳，需要重新拧紧固定,龙头松动,紧固龙头
WO0017675241,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-23 19:36:59,2025-01-16 13:13:06,2025-01-16 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"快插直接 PI0406(1/4*3/8快插),鼎臣DCC(白色)",净水机,水路结构类,,上门维修,,,机器漏水,龙头快插直接脱落导致漏水,龙头快插直接脱落导致漏水，拆卸快插直接检查发现卡爪断裂，修复快插直接后故障修复
WO0017563374,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-11 08:45:26,2025-05-05 11:28:17,2025-05-05 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,企微报维修，漏水严重，保内，请加急,废水管弹出,重新绑定废水管
WO0017566544,质量工单,Rule A.3: 核心部件更换,保内,2024-09-29 20:13:29,2025-01-12 08:45:39,2025-01-12 00:00:00,"净水设备 反渗透厨下式净水机,J3669-ROC90，线下渠道，白色、全盖(白色)",消费者事业部,"高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)",净水机,电气类,,上门维修,"高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)","高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)",机器不出水，重启无效。师傅已上门。,机器不停机,换高压开关
WO0017764027,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-22 17:22:59,2025-04-26 10:49:10,2025-04-26 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,机器不制水，维修后故障依旧，请核实实际情况，如质量问题请开具质量鉴定单,制水断断续续,换机
WO0017557379,非质量工单,Rule 3: 最终安全网,保内,2024-10-17 16:51:24,2025-05-15 13:30:58,2025-05-15 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,接出来有和烧开后都有污渍，水还有漂白粉的味道,有异味，上门检测,上门测水质
WO0017729012,质量工单,Rule A.3: 核心部件更换,保内,2025-04-15 15:20:00,2025-06-16 10:30:11,2025-06-16 00:00:00,"净水设备 反渗透厨下式净水机,J3674-ROC120 b，天池SE，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"电源适配器 GM13024005005DE,输入端：220V  2.5A  线长300mm，输出端：DC24V 5.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 GM13024005005DE,输入端：220V  2.5A  线长300mm，输出端：DC24V 5.0A 线长1200mm,含DC插头(黑色)","电源适配器 GM13024005005DE,输入端：220V  2.5A  线长300mm，输出端：DC24V 5.0A 线长1200mm,含DC插头(黑色)",不通电,不通电,
WO0017665824,非质量工单,Rule B.3: 用户/环境责任,保内,2025-01-11 14:25:20,2025-05-22 11:46:26,2025-05-22 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,,净水机,产品鉴定,只换不修政策产品质量鉴定,上门维修,,,17625203401用户代报维修，龙头出水断断续续，保内,龙头出水断断续续，不流畅。,师傅已上门检测观察，机器确实存在出水断续不流畅的问题，且调试后仍旧无法恢复正常使用。该产品符合只换不修政策，现帮用户申请维修转只换不修。
WO0017749712,非质量工单,Rule B.3: 用户/环境责任,保内,2025-04-21 11:28:29,2025-06-16 17:36:32,2025-06-16 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC180,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,经销商代报维修   师傅上门确定具体故障,龙头显示EE,机器问题，客户联系线上商家更换新机
WO0017788933,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-01-03 14:58:06,2025-03-09 15:57:10,2025-03-09 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,波纹管-SP J2631-PS2000，1/2″*500mm(原色)6的倍数起订,净水机,水路结构类,,上门维修,,,机器有问题，请确认故障,波纹管漏水,重新加紧波纹管
WO0017924850,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2025-03-06 10:50:15,2025-06-05 13:42:18,2025-06-05 00:00:00,"过滤器 前置过滤器,J3632-GWG-7000(冰川灰)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,出水小，师傅已上门,屋里水龙头出水非常小，新安的，前置过滤器，保内上门检查，清洗，修复，处理完成,屋里水龙头出水非常小，新安的前置过滤器，保内上门检查，清洗，修复处理完成
WO0017647844,非质量工单,Rule 3: 最终安全网,保内,2025-04-21 13:30:14,,2025-06-10 00:00:00,"台式净饮机 台式净饮机,JY3693-ROT8H(迷你台式净饮机)(ANGEL白)",电商事业部,,净饮机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,经销商代报维修  一直提示换水 麻烦预约师傅上门看看 加急,断水,客户退换机
WO0017648262,非质量工单,Rule 3: 最终安全网,保内,2025-02-20 10:41:58,2025-04-02 15:47:04,2025-04-02 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,密封圈 O型，Ф4.3*Ф115mm(黑色),净水机,水路结构类,,上门维修,,,客户留言:拆除阻垢剂,客户要求去除复合磷酸盐,去除复合磷酸盐
WO0017878208,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-11 09:51:44,2025-04-18 17:13:46,2025-04-18 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"PE管 等径直管,1/4″,CCK(白色)",净水机,水路结构类,,上门维修,,,经销商代报维修，漏水，预约个技术好的师傅,漏水,管子脱落，重新装好了
WO0017748804,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2024-12-26 09:16:36,2025-05-07 16:47:47,2025-05-07 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,17723291239经销商代报维修有异味,水路故障，有异味,检测水质，加长废水PE管，指导客户经常冲洗，首次使用建议放一分钟水
WO0017782037,质量工单,Rule A.3: 核心部件更换,保内,2024-09-18 13:18:06,2025-06-03 16:33:36,2025-06-03 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,"电源适配器 J3539-ROC120,156.5*65*31.7mm,型号：YW-2400500；输入：200-240V~50/60Hz 2.5A 输出:24V 5.0A(黑色)",净水机,电气类,,上门维修,"电源适配器 J3539-ROC120,156.5*65*31.7mm,型号：YW-2400500；输入：200-240V~50/60Hz 2.5A 输出:24V 5.0A(黑色)","电源适配器 J3539-ROC120,156.5*65*31.7mm,型号：YW-2400500；输入：200-240V~50/60Hz 2.5A 输出:24V 5.0A(黑色)",15376700419服务商代报电源电压不够,开机长时间后 机器不出水 经排查 电源适配器输出不足24 v 电源适配器掉压,更换电源适配器
WO0017850101,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-04-08 19:09:03,2025-05-27 14:44:15,2025-05-27 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"电磁阀 FPD-360L58-DC24V,三分快插,带钣金支架/带滤网(/)",饮水机,电气类,,上门维修,,,来电号码:13587998807;故障信息:机器故障具体故障问题请师傅先联系确认,不出水，不进水，显示E1,重启
