工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0018229550,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018229570,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018229777,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018230032,,,净水机,安全维护,加装排水盒总成,排水盒总成,,"排水盒总成 LBJ-2701,152.0*102.0*67.0mm,与管线机配套用(白色)",,非质量工单,,
WO0018230487,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018230936,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018231146,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018231560,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018231642,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018233243,,,净水机,安全维护,加装排水盒总成,,,,,非质量工单,,
WO0018233332,,,饮水机,安全维护,程序升级/程序烧录,,,,,非质量工单,,
WO0018233816,,,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,,"售后保养包 包含3分PE管1米,2分PE管3米,2分快插直接1个,包装胶袋，大通量机型适用(/)",,非质量工单,,
WO0018234889,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018235199,,,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,,"售后保养包 包含3分PE管1米,2分PE管3米,2分快插直接1个,包装胶袋，大通量机型适用(/)",,非质量工单,,
WO0018235244,,,净饮机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018235950,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,非质量工单,,
WO0018236209,,,净水机,安全维护,程序升级/程序烧录,,,,,非质量工单,,
WO0018236702,,,净水机,安全维护,加装压力桶,压力桶总成,,"压力桶总成 J3303-ROB60,0.5G螺纹式,塑胶压力桶，带盒售后用(原色)",,非质量工单,,
WO0018236724,,,净水机,安全维护,改善口感，增加后置活性炭,,,,,非质量工单,,
WO0018237579,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,非质量工单,,
WO0018237666,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018238278,,,净水机,安全维护,改善口感，增加后置活性炭,,,,,非质量工单,,
WO0018239228,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018239300,,,饮水机,产品鉴定,线上销售的产品质量鉴定,,,,,质量工单,,
WO0018239338,,,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,,"售后保养包 包含3分PE管1米,2分PE管3米,2分快插直接1个,包装胶袋，大通量机型适用(/)",,非质量工单,,
WO0018239556,,,净水机,安全维护,加装排水盒总成,排水盒总成,,"排水盒总成 LBJ-2701,152.0*102.0*67.0mm,与管线机配套用(白色)",,非质量工单,,
WO0018240765,,,净水机,安全维护,保养件保养包更换(PE管+接头),,,,,非质量工单,,
WO0018241153,,,净水机,产品鉴定,线上销售的产品质量鉴定,,,,,非质量工单,,
