工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
RL0011191646,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,不出水,机器出水不正常，自动停机,检测机器电路板或者龙头故障，用户不愿意维修要求换机,nan,质量工单
RL0011191647,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,异味，无法解决麻烦核实机器质量问题开鉴定单谢谢,出水有异味,管线机出水有异味,nan,质量工单
RL0011191648,nan,nan,净水机,安全维护,加装排水盒总成,nan,18005407836服务商代报维修  加装水盒子,刚放水水时水质高，造成管线机水箱结垢,加装排水盒子,nan,非质量工单
RL0011191649,nan,nan,饮水机,安全维护,程序升级/程序烧录,nan,经销商公众号代报维修，出水异味,维修，拆解电磁阀，拆解水箱,维修，拆解电磁阀，拆解水箱,nan,非质量工单
RL0011191650,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,两年以换管,更换新的管,nan,非质量工单
RL0011191651,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,经销商代报维修 有塑料味道,有异味,上门检测确实有异味,nan,质量工单
RL0011191652,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,pe管老化,现场免费更换pe管,nan,非质量工单
RL0011191653,nan,nan,净饮机,产品鉴定,线上销售的产品质量鉴定,nan,E7反馈多次频繁故障，请先电话联系客户,龙头多次显示E7，只能出常温水，热水用不了,上门鉴定，应该是水箱内部浮球故障，客户拒绝维修，要求退货,nan,质量工单
RL0011191654,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,管子漏水,楼道,机器没问题，用户自来水龙头滴水,nan,非质量工单
RL0011191655,nan,nan,净水机,安全维护,程序升级/程序烧录,nan,维修，噪音大，师傅已上门,噪音大,检测,nan,非质量工单
RL0011191656,nan,nan,净水机,安全维护,加装压力桶,压力桶总成,18317591379服务商代报维修，加装储水罐,机器平凡启动,加装压力桶,nan,非质量工单
RL0011191657,nan,nan,净水机,安全维护,改善口感，增加后置活性炭,nan,经销商代报维修 出水有臭味,出水臭,加装后置碳客户有,nan,非质量工单
RL0011191658,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,上门确定机器是否属于质量问题，若是质量问题请开鉴定单,TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，,TDS值偏高，大通量前1分钟出水偏高，大通量机器共性，符合企标不符合用户需求，,nan,非质量工单
RL0011191659,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,13770601145服务商代报，异响。,开鉴定单,开鉴定单,nan,质量工单
RL0011191660,nan,nan,净水机,安全维护,改善口感，增加后置活性炭,nan,烧水有异味    有退机意向,水有味,加装后置碳,nan,非质量工单
RL0011191661,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,显示板故障，请核实机器故障情况，如质量问题属实且不接受维修，麻烦开具质量鉴定单,显示屏坏了,用户要求换机,nan,质量工单
RL0011191662,nan,nan,饮水机,产品鉴定,线上销售的产品质量鉴定,nan,漏水，请核实机器故障情况，如质量问题属实且不接受维修，麻烦开具质量鉴定单,机器内部漏水,线上要开鉴定单,nan,质量工单
RL0011191663,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),售后保养包,维修,保养包,nan,nan,非质量工单
RL0011191664,nan,nan,净水机,安全维护,加装排水盒总成,排水盒总成,维修 加装水盒子，师傅已上门,连接管线机tds值过高,免费加装排水盒总成,nan,非质量工单
RL0011191665,nan,nan,净水机,安全维护,保养件保养包更换(PE管+接头),nan,故障类型：出水故障,滤芯复位,滤芯复位,nan,非质量工单
RL0011191666,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,经销商代报维修,不会反冲洗,清洗前置,nan,非质量工单
