维修工单号,问题描述,故障件,解决方案,是否质量工单
RL0010163019,重点检查；1、当前设备调试好的TDS值是多少，如果偏低或是偏高按照门店要求重新调整。2、检查前置复合滤芯，RO有没有堵塞，净水器每分钟出水量。3、检查机器全有管路，看管路是否有连接错误。4、关闭压力桶阀门，关闭门店净化水管阀门，检查机器工作是否能正常满水停机。5、检查压力桶有没有失压，穿孔，不进水。6、带上压力表检查门店自来水压力，看看门店自来水压力多大并拍照发至工单群确认。7、师傅上门后联系余工,密封圈,工作正常,非质量工单
RL0010162318,不制水异响,高压开关,上门讲解,质量工单
RL0010157522,漏水,快插三通,让客户再观察使用,非质量工单
RL0010116155,问题点：1、打印验收单填写测试数据签字2、拍照内容（奈雪门头、设备故障点、排除后设备压力、龙头流量）3、技术支持：聂工18694989472,活性炭滤芯总成,清洗超滤,质量工单
RL0010101903,紫外线位置漏水1.维修工单打印2.如果非安吉尔紫外线或者波纹管备注“非净水原因库迪扣款”3.公司结算维修费,机身主体,上门检测发现是台面往下渗水，机器正常，杀菌灯没有问题,非质量工单
RL0010071122,净水器上部漏水,增压泵,更换水泵,质量工单
RL0010059615,无水.无压力,快插塑料阀门,打开净水常闭三通，增加高峰用水期供水量,非质量工单
RL0010056943,不造水不净水,增压泵,上门维修检修,质量工单
RL0010055697,换完滤芯后TDS昨天调了半天是八十，今天是130，调不到范围内70-90,塑料阀门,调整数值为72,质量工单
RL0010039401,不能使用,快插弯头,加固废水管,非质量工单
RL0010023103,漏水,密封圈,上门更换O型圈,质量工单
RL0010012017,反馈纯水机的压力桶不进水已民影响门店营业，需加急,滤桶,调整水路,质量工单
RL0009942648,不出水,金属阀,检测，恢复,非质量工单
RL0009934012,漏水,快插弯头,调试,非质量工单
RL0009928523,水质不纯颜色发黄,快插弯头,门店角阀有秀班，,非质量工单
RL0009920164,储水桶不出水，需加急,滤桶,更换压力桶,质量工单
RL0009905104,不出水需加急已闭店,增压泵,更换新配件,质量工单
RL0009873672,净水器漏水（主机内部）,滤桶,更换换RO膜滤桶,质量工单
RL0009840895,自动停，水流不稳定,快插三通,更换角阀,非质量工单
RL0009825441,设备：TDS偏高,快插弯头,调试水质,质量工单
RL0009819177,净水器不出水制冰机,开水机,推杯水龙头都没水不下冰即将无法营业着急,塑料阀门,开关没开，将开关打开,非质量工单
RL0009753526,停止按钮和运作按钮长亮，机器一直在运作不会停机,指示灯板总成,更换,质量工单
RL0009749883,漏水,快插三通,维修内牙转快接口接头,质量工单
RL0009747931,水质差浑浊，冰块浑浊不透明,快插塑料阀门,更换球阀,非质量工单
RL0009738848,冰箱后紫外线消毒灯脱落,机身主体,重新安装杀菌灯,质量工单
RL0009732992,水流小，上次来看说让报修要更换配件,快插弯头,检查有可能是增压泵的问题,质量工单
RL0009694698,水质偏低,快插弯头,调TDS值,质量工单
RL0009694617,压力不上水目前无法营业，要求加急处理,密封圈,拆下角阀后发现里面锈死不通水，更换了一个新角阀后机器工作用水正常。,非质量工单
RL0009691081,净水器漏水,快插三通,管路检修,质量工单
RL0009690003,不工作需加急处理,增压泵,更换水泵,质量工单
RL0009676460,漏水,固定夹,紧固瓶盖,非质量工单
RL0009674474,净水器无法正常运行制水,塑料阀门,疏通水路,非质量工单
RL0009671940,高压桶漏水,塑料阀门,拧紧球阀,非质量工单
RL0009661722,漏水严重需加急,塑料阀门,调试,非质量工单
RL0009651489,净水器一直出现响声,减压阀,加装减压阀,质量工单
RL0009630809,机器不工作，不出水,电源适配器,上门检测，机器超时保护,非质量工单
RL0009627741,净水器没有运行的声音，水质300多，自来水才200多，水压特别大,电磁阀,更换废水电磁阀,质量工单
RL0009627627,净水口出来水质数值在400多,快插弯头,把水质调低。,质量工单
RL0009622771,设备：TDS偏高,快插弯头,把水质调低。,质量工单
RL0009661755,漏水严重需加急,快插弯头,调试,非质量工单
RL0011513132,有异味,滤桶,检测，品尝无问题,非质量工单
RL0011476781,水量小，制冰机蒸汽机带不起来,反渗透膜元件,更换了一个ro膜,质量工单
RL0011449429,水质偏高，保内，要求加急,快插塑料阀门,关闭旁通阀，测水质合格90,质量工单
RL0011434097,刚出水的时候发黄，黄的很，首次安装都有问题，水质不达标，tds高的离谱，肉眼可见的杂质,PE管,用户管路问题,非质量工单
RL0011379574,设备：TDS偏高,反渗透膜元件,更换用户自备全套滤芯,质量工单
RL0011361478,出水小需加急,快插三通,检测出水流量，从机器出水量比推杯龙头出水量大很多，怀疑是ppr管道堵了,非质量工单
RL0011288553,这几天总是突然间不出直饮水,固定片,储水罐阀门关闭，导致时断水。阀门打开,非质量工单
RL0011338726,出水小上门检测下TDS,反渗透膜元件,TDS值显示30，顾客要求20以内，更换RO膜,质量工单
RL0011337444,1月6日上午10：30-11:00上门调节TDS值到最接近150需要调节后TDS照片+验收单,指示灯板总成,调试TDS值，已调,质量工单
RL0011310615,漏水,滤桶盖,拧紧漏水点,质量工单
RL0011308792,让师傅带上高压高开关到现场后联系一下戴总,高压开关,更换高压开关,质量工单
RL0011718463,漏水,塑料阀门,上门检测各个接口无漏水点，让客户再观察使用,非质量工单
RL0011711224,漏水严重，加急处理；,密封圈,更换密封圈，重新安装,质量工单
RL0011652497,出水有水垢,快插弯头,重新调节混水阀后机器正常,质量工单
RL0011648163,直饮水龙头不出水,快插弯头,更换角阀,非质量工单
RL0011638631,漏水,PE管,水龙头接口处漏水，师傅上门重新接管。,非质量工单
RL0011578424,净水机自动停止滴滴响,PE管,上门检修正常,非质量工单
RL0011569805,管子炸了漏水，优先联系19947657035,快插塑料阀门,更换接头,质量工单
RL0011932018,净水不出水，整日棒咖啡机都显示缺水,增压泵,换水泵,质量工单
RL0011837442,安吉尔纯水机出现漏水情况，请尽快处理漏水,密封圈,重新安装，紧固,质量工单
RL0011837006,密封圈断裂机器渗水,密封圈,重新安装密封圈,质量工单
RL0011884402,换膜壳；,指示灯板总成,维修,质量工单
RL0011760189,水管漏水严重,PE管,已上门处理,质量工单
RL0011711395,机器水泵坏了无法提供物流码,增压泵,更换增压泵,质量工单
RL0012184390,机器不停机,指示灯板总成,更换新的电脑板,质量工单
RL0012065315,水蒸气不足,快插弯头,经查需更换滤芯，已告知门店需上报库迪总部更换滤芯,非质量工单
RL0012024195,净水器漏水,快插弯头,帮忙维修换件收费40+10,非质量工单
RL0012005315,制水少,指示灯板总成,维修,质量工单
RL0012279946,设备：设备报故障，反馈净水压力不够,指示灯板总成,已发货,质量工单
RL0012271479,快接头断了,增压泵,更换模壳,质量工单
RL0012282855,净水机漏水,快插直接,固定废水,非质量工单
RL0012235554,18084347668服务商代报维修漏水,快插弯头,巳更换处理好,质量工单
RL0011241514,不出水,PE管,机器进水三通阀关闭无进水，到现场后，打开进水三通阀，机器止水正常,非质量工单
RL0011200243,连续两天频繁E08，需要紧急上门检修,反渗透膜元件,用水量大，滤芯堵塞导致,质量工单
RL0011071256,反馈出水有黑色东西，这个是乐刻总部，需要加急上门，麻烦现在先联系,活性炭滤芯成品,更换活性炭滤芯机器正常,质量工单
RL0010163713,门店反馈现场有预留排水，师傅安装新机时告知客户没有排水，客户一直用桶接废水，频繁倒水，直到电工看到告知有排水才清楚情况。请加急安排上门给客户接好废水排水管，客户拒绝安装时的师傅上门并且强烈投诉，请协调其他师傅,高压开关,链接废水管,非质量工单
RL0011277786,漏水,快插三通,更换,质量工单
RL0011223969,客户反馈新机tds99，非常担心水质，要求师傅尽快上门查看。检测水质实际tds值，判定是否为传感器故障，另外现场是上排水，废水管是否有加装了单向阀,TDS传感器,重新加装单向阀和测水质为8,质量工单
RL0011177070,安排售后处理,快插三通,更换,质量工单
RL0011149582,接水盒堵了,快插三通,通排水管,非质量工单
RL0011103035,AHR33更换接水盒,变径L管,已处理,非质量工单
RL0011103030,更换接水盒（6楼较急），配件已到,等径直管,已处理,非质量工单
RL0011055791,尽快安排售后处理,PE管,打开水阀,非质量工单
RL0011049206,问题点：1、打印验收单填写测试数据签字2、拍照内容（奈雪门头、设备故障点、排除后设备压力、龙头流量）3、技术支持：聂工18694989472,温度感应器,手动复位,质量工单
RL0011049144,安排售后处理,漏水检测探头,去掉漏水探头,质量工单
RL0011013311,E08,重启后还不出水，请上门维修，加急,PE管,自来水没水,非质量工单
RL0010969996,水的异味严重，无法饮用；,等径直管,排水冲洗。二三楼共4台机己排水冲洗。一楼锁门无法进入冲洗,非质量工单
RL0010955183,水质TDS高,逆止阀,加一个逆水阀,质量工单
RL0010943195,TDS水值高,PE管,加装逆止阀,质量工单
RL0010910329,不出热水,温控器,温控器自我保护跳闸，手动复位,质量工单
RL0010905499,机器TDS值高60,PE管,加装逆止阀,质量工单
RL0010896447,尽快安排售后上门处理。,快插弯头,更换快接弯头,质量工单
RL0010896237,安排售后尽快处理,漏水检测探头,清理异物,质量工单
RL0010841721,安排售后处理,电磁阀,拆开维修，下次再出现这种情况只能更换,质量工单
RL0010407076,安排售后检修,等径直管,接水盘排水管太高，因排水管硅胶管太长导致,非质量工单
RL0010396115,故障码E09,等径直管,下水漏水更换下水管,非质量工单
RL0010391431,安排售后处理,增压泵,重新把水泵电源插头针线固定调整,质量工单
RL0010391122,安排售后处理,增压泵,巩固调整水泵固定螺丝,质量工单
RL0010387961,机器不出水,反渗透膜元件,废水管走的吊顶而且很长，排水不畅导致滤芯堵塞,质量工单
RL0010357837,ahr3305机器排水不畅，现工厂更换接水盒模具，接水盒已快递给客户sf6027566162988。新接水盒没有密封圈，从旧的上面拆。麻烦售后师傅更换后仔细观察30分钟，观察接水盒排水通畅情况，特别注意，接水盒排水管不能直接淹没到水桶底部。完成后需要与现场负责人对接更换效果及注意事项，让负责人查看确认，另需要回传安装后的视频(机器前后的视频);联系大伟18820991200,排污阀体,换接水盒,质量工单
RL0010338263,漏水停机不能使用,排污阀体,没配件用扎带把软管咋住,非质量工单
RL0010338015,常温水出水量小，目前观察已经持续一到两周,水箱,出水口有异物，导致出水小，以清理恢复正常,非质量工单
RL0010317048,接水盒不下水，保洁阿姨每天都会清洗，马山上门处理，谢谢，上门联系17605237319刘总,变径L管,前端排水口开孔切短排水管保持垂直,非质量工单
RL0010298493,出现E09,逆止阀,重新安装内部管路,质量工单
RL0010281636,8.22门店反馈接水盒排水不畅，8.23上门检修，8.26门店再次反馈接水盒排水不畅，一直积水，请加急上门排查处理好。联系19166239002,PE管,改水槽排水,非质量工单
RL0010241551,门店反馈接水盒排水不畅，导致溢出。加急上门处理，联系张俊18603055656,PE管,水盒排水堵死,非质量工单
RL0010224780,TDS水质高,逆止阀,加逆水伐,质量工单
RL0010183905,安排师傅,等径直管,疏通排污管,非质量工单
RL0009866578,TDS值偏高且有漏水现象,快插弯头,换配件,质量工单
RL0009847695,机器不能使用，加快安排售后上门处理！！！,变径L管,重新链接,非质量工单
RL0011403656,不出水，派单给浩泽宝能,跷板开关,插座电源故障，客户已维修,非质量工单
RL0011354586,8楼排水管变形，更换排水管,废水比例阀,已处理,非质量工单
RL0011342616,安排售后处理,温控器,调节温度,质量工单
RL0011342508,安排售后处理,密封圈,水泵二分管快接密封圈漏水，更换密封圈,质量工单
RL0011315737,生产二楼饮水机机器不出水,PE管,打开水源,非质量工单
RL0011305129,冷水出水小,电磁阀,更换放水电磁阀,质量工单
RL0011296154,显示888，物流码：645647516323469912；区域经理表示此单属于租赁机，派单上海安莱亚，因前工单无法退回总部，故重新派单,电磁阀,更换热水出水电磁阀
