工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017617667,质量工单,Rule A.3: 核心部件更换,保内,2024-12-13 20:31:50,2025-01-15 12:43:08,2025-01-15 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"灯显龙头 J3569-ROC120,2分PE管转3分快插口，一进一出，外露配线长1.4m，带LED灯显示及霍尔开关，LED灯供电：5V(原色)",净水机,电气类,,上门维修,"灯显龙头 J3569-ROC120,2分PE管转3分快插口，一进一出，外露配线长1.4m，带LED灯显示及霍尔开关，LED灯供电：5V(原色)",灯显龙头 QJS-Z158，3分快插口，一进一出，外露配线长1.4m，带LED灯显示及霍尔开关，LED灯供电：5V(原色),21016763服务商代报龙头不显示,龙头显示红灯，导致机器显示红灯，,更换新的灯显龙头
WO0017661840,质量工单,Rule A.3: 核心部件更换,保内,2025-01-11 13:23:04,2025-05-20 11:16:06,2025-05-20 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),净水机,电气类,,上门维修,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),053186073971服务商代报维修，龙头花屏,水龙头花屏,更换水龙头
WO0017548101,非质量工单,Rule 3: 最终安全网,保内,2025-04-17 19:16:35,2025-05-23 15:37:04,2025-05-23 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,,饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,核实机器故障情况，如质量问题属实，请开具质量鉴定单。,出水温度不够，客户要换机，已经跟经销商沟通好了,客户要换机
WO0017822009,质量工单,Rule A.2: 只换不修/鉴定政策，命中关键词：“退机”,保内,2025-05-28 19:35:29,2025-06-20 11:04:44,2025-06-20 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC210,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,只换不修政策产品质量鉴定,上门维修,,,经销商代报维修，净水器不能正常出水，保内,不出水,新装机器，使用一天后就不出水，设备一直闪绿灯，质量问题，客户不同意维修，要求退机
WO0017696132,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-28 14:03:51,2025-05-23 15:12:59,2025-05-23 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"转接头 【3312模具】J3507-ACF1000,29*26*42.7 mm(白色)",净水机,水路结构类,,上门维修,,,19130622971服务商代报维修，机器不出水,不出水,用户家的净水器不出水了，上门检查后发现是球阀没有打开，现在故障现象已恢复
WO0017919961,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-31 18:34:01,2025-04-04 16:11:40,2025-04-04 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"PE管 等径直管,1/4″,CCK(白色)",净水机,水路结构类,,上门维修,,,"客户留言:师傅用胶带链接排水管，没有接好，漏水的很厉害
故障类型：漏水故障",排水组件漏水,维修
WO0017683000,非质量工单,Rule 3: 最终安全网,保内,2024-12-19 10:09:39,,2025-03-22 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3612BK-G a(白色)(白色)",商用事业部,"控制板 Y3612BK-G b a,包含黑色外壳(绿色)",饮水机,电气类,,上门维修,,,,控制面板控制不了出水，关不住,重新插拔连接线恢复正常
WO0017758808,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-04-22 08:55:13,2025-06-09 14:10:29,2025-06-09 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC180,网销专供(鹅黄色)",电商事业部,"电控龙头J3675-ROC210,单出水屏显龙头,英仕,3.3V,一进一出,外露配线长1.4m,3分PE管,3个滤芯寿命灯(CFII+RO+NAC),TDS显示等,快接黑色",净水机,电气类,,上门维修,,,17280676607 服务商代报 龙头不出水,客户反应龙头不出水,检查水路电路，从新拔插龙头线，重启恢复功能
WO0017751964,质量工单,Rule A.2: 只换不修/鉴定政策，命中关键词：“换机”,保内,2025-02-28 20:26:31,2025-04-18 11:19:45,2025-04-17 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,,饮水机,产品鉴定,只换不修政策产品质量鉴定,上门维修,,,公众号服务商代报管线机不加热,热水按不了,换机
WO0017696319,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-09-09 09:00:41,2025-01-24 14:13:34,2025-01-24 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),净水机,电气类,,上门维修,,,有水垢,客户反应机器不出水已上门检查发现机器是机器电源脱落导致重新上电机器恢复正常维修完成,客户反应机器不出水已上门检查发现机器是机器电源脱落导致重新上电机器恢复正常维修完成
WO0017913725,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-12-18 20:32:00,2025-05-10 12:20:39,2025-05-10 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,,,13109109099经销商代报维修  机器不出水 ,机器不制水不通电,震动太大电源适配器插头脱落，胶带紧固防止脱落
WO0017668560,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-01-18 09:18:23,2025-04-30 15:19:48,2025-04-30 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,"增压泵 QS0580F-600,DC24V,工作电流≤3.2A,工作流量≥3400ml/min(进水压力为30psi,出水压力为100psi),线长315mm,三分顶出(/)",净水机,电气类,,上门维修,,,噪音大，保内,用户报机器噪音大，上门检修，机器运行正常，无异常,上门检修，机器出水正常，声音正常，无异常
WO0017563192,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-10-23 14:06:33,2025-04-28 11:17:10,2025-04-28 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,,饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,漏水，请先电话联系客户,触摸屏与面板接缝处漏水,客户要求换新机
WO0017644571,质量工单,Rule A.3: 核心部件更换,保内,2025-03-07 00:07:13,2025-04-29 13:08:27,2025-04-29 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"微电脑显示板 Y3611BK-G,安吉尔壁挂管线机/80*135.5*1.5mm/刷胶(/)",饮水机,电气类,,上门维修,"微电脑显示板 Y3611BK-G,安吉尔壁挂管线机/80*135.5*1.5mm/刷胶(/)","前面板总成 Y3611BK-G,102*167*11.5MM,含控制板显示罩,PC装饰板,,包装袋等,售后专用(深空银)",维修，不出水,按键不灵,
WO0017891157,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-09-18 13:18:06,2025-03-16 14:17:08,2025-03-16 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,波纹管-SP J2651-US3000，1″*700mm(原色)6的倍数起订,净水机,水路结构类,,上门维修,,,漏水，保内,调整不锈钢管,顾客反馈冷凝水多，滴水，调整不锈钢管
WO0017767393,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-03-22 13:34:05,2025-04-25 16:05:10,2025-04-25 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"快插直接 JY3491TK-ROK,3/8*3/8,一头接PE管一头直插，,对应摩纳物料名称为一字快接(白色)",净水机,水路结构类,,上门维修,,,来电号码:17814676828;故障信息:漏水,接口漏水,拆下更换垫片重新加固
WO0017885433,非质量工单,Rule 3: 最终安全网,保内,2025-05-12 13:47:46,2025-05-19 14:12:01,2025-05-19 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC210,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,经销商代报 CF滤芯灯不亮,第一个CFII指示灯不亮,用户要求换机
WO0017633501,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-21 17:10:17,2025-04-27 10:03:41,2025-04-27 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,经销商代报 漏水,漏水,三通2分快插头处漏水
WO0017763685,质量工单,Rule A.3: 核心部件更换,保内,2024-10-16 14:57:49,2024-12-30 12:56:41,2024-12-30 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","故障类型：出水故障,制水故障",机器不通电,更换电源后机器恢复正常。
WO0017879335,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2025-03-05 14:18:46,2025-04-19 11:57:00,2025-04-19 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",出水有黑色沉淀物,出水有黑色沉淀物,客户家于2025-04-19安装机器安装单号WO0017155309，现机器出水有碳粉，工程师上门排查需要更换复合滤芯，符合短周期
WO0017726079,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-05-29 14:34:21,2025-06-02 10:36:22,2025-06-02 00:00:00,"净水设备 反渗透厨下式净水机,J3607-ROC120H(安吉尔白)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,来电号码:18931017201;故障信息:漏水,漏水,废水管跑出来了，从新连接废水管
WO0017727504,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-10-24 10:13:25,2025-06-01 18:51:36,2025-06-01 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,"快插弯头 L型，3/8*3/8M，MDM2817-B,双O螺牙(白色)",净水机,水路结构类,,上门维修,,,18637166444服务商代报维修 漏水,更换快插,更换快插接头，漏水解决
WO0017722230,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-09-30 09:36:58,2024-11-04 10:37:13,2024-11-04 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"快插直接 PI0406(1/4*3/8快插),鼎臣DCC(白色)",净水机,水路结构类,,上门维修,,,03913345551服务商代报维修漏水,废水管脱落,紧固管路
WO0017715062,非质量工单,Rule 3: 最终安全网,保内,2024-09-09 09:00:41,2025-05-17 12:51:14,2025-05-17 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,机器类似洗衣机一样的声音，重启无效,PE管破裂,PE管破裂，已更换PE管
