编号(维修行),维修问题点,二级问题点
RL0009627627,TDS值调整,调整TDS值在70-100
RL0009622771,TDS值调整,调整TDS值在70-100
RL0009661755,漏水,混水阀漏水
RL0011513132,非产品质量问题,检测正常
RL0011476781,滤芯堵塞,RO滤芯堵塞
RL0011449429,TDS值调整,关闭旁通阀
RL0011434097,非产品质量问题,原水水质不达标
RL0011379574,TDS值调整,调整TDS值在70-100
RL0011361478,非产品质量问题,调整管路
RL0011288553,非产品质量问题,压力桶球阀未打开
RL0011338726,TDS值调整,调整TDS值在70-100
RL0011337444,TDS值调整,调整TDS值在70-100
RL0011310615,漏水,管接件漏水
RL0011308792,高压开关,制水不停机
RL0011718463,非产品质量问题,检测正常
RL0011711224,漏水,更换密封圈
RL0011652497,TDS值调整,调整混水阀
RL0011648163,非产品质量问题,更换金属阀
RL0011638631,漏水,龙头接头漏水
RL0011578424,非产品质量问题,检测正常
RL0011569805,压力桶,压力桶球阀坏
RL0011932018,增压泵,增压泵漏水
RL0011837442,非产品质量问题,压力桶球阀漏水
RL0011837006,非产品质量问题,用户安装滤芯导致漏水
RL0011884402,RO滤芯,RO滤芯膜壳开裂
RL0011760189,漏水,水管漏水
RL0011711395,增压泵,增压泵漏水
RL0012184390,电控板,制水不停机
RL0012065315,非产品质量问题,滤芯寿命到期
RL0012024195,非产品质量问题,龙头漏水
RL0012188090,漏水,管接件漏水
RL0012053674,电磁阀,进水电磁阀堵塞
RL0012482866,电磁阀,不出水
RL0012477750,漏水,金属三通
RL0012352239,非产品质量问题,重启机器
RL0012348246,RO滤芯,RO滤芯膜壳开裂
RL0012279946,电控板,不通电
RL0012271479,RO滤芯,RO滤芯膜壳开裂
RL0012282855,非产品质量问题,废水管松脱
RL0012235554,漏水,管接件漏水
RL0011241514,非产品质量问题,金属阀未打开
RL0011200243,非产品质量问题,RO滤芯堵塞
RL0011071256,滤芯,后置炭滤芯漏炭
RL0010163713,非产品质量问题,安装废水管
RL0011277786,漏水,金属阀漏水
RL0011223969,非产品质量问题,加装单向阀
RL0011199932,漏水,复合滤芯接头漏水
RL0011177070,漏水,管接件漏水
RL0011149582,接水盒,接水盒排水口堵塞
RL0011103035,接水盒,接水盒漏水
RL0011103030,接水盒,接水盒漏水
RL0011055791,非产品质量问题,金属阀未打开
RL0011049206,温控器,温控器保护
RL0011049144,漏水保护,误触发，去掉漏水保护
RL0011013311,非产品质量问题,自来水无进水
RL0010969996,异味,异味上门冲洗
RL0010955183,出水水质问题,加装逆止阀
RL0010943195,出水水质问题,加装逆止阀
RL0010910329,温控器,温控器保护
RL0010905499,出水水质问题,加装逆止阀
RL0010896447,漏水,增压泵接头漏水
RL0010896237,漏水保护,漏水保护误触发
RL0010841721,电磁阀,进水电磁阀卡死
RL0010407076,非产品质量问题,排水管漏水
RL0010396115,非产品质量问题,废水管漏水
RL0010391431,制造问题,水泵线束松脱
RL0010391122,噪音,增压泵异响
RL0010387961,安装问题,安装废水管
RL0010357837,接水盒,接水盒漏水
RL0010338263,漏水,水箱排空水管漏水
RL0010338015,电磁阀,出水电磁阀堵塞
RL0010317048,非产品质量问题,排水管漏水
RL0010298493,漏水,管路漏水
RL0010281636,接水盒,接水盒排水口堵塞
RL0010241551,接水盒,接水盒排水口堵塞
RL0010224780,出水水质问题,加装逆止阀
RL0010183905,接水盒,接水盒排水口堵塞
RL0009866578,漏水,管接件漏水
RL0009847695,接水盒,接水盒未安装到位漏水
RL0011403656,非产品质量问题,电源松脱
RL0011354586,漏水,废水管漏水
RL0011342616,非产品质量问题,调试机器
RL0011342508,漏水,更换密封圈
RL0011315737,非产品质量问题,电源未打开
RL0011305129,电磁阀,出水电磁阀堵塞
RL0011296154,电磁阀,热水电磁阀滴水
RL0011374519,电控板,按键失灵
RL0011709800,电磁阀,热水电磁阀滴水
RL0011588133,电磁阀,不出水冷水
RL0011721442,增压泵,出水不稳定
RL0011678169,电子冰胆,电子冷胆结冰
RL0011677529,漏水,排水管漏水
RL0011677190,出水水质问题,清洗储水箱
RL0011559038,漏水,废水管漏水
RL0011551158,接水盒,接水盒排水口堵塞
RL0011549941,非产品质量问题,排水管漏水
RL0011814722,接水盒,接水盒堵头脱落
RL0011726885,非产品质量问题,用水量大
RL0011876200,电磁阀,出水电磁阀滴水
RL0011834087,噪音,管路共振
RL0012221725,非产品质量问题,电源接头松脱
RL0012180925,漏水,排水管漏水
RL0012172389,漏水,金属阀漏水
RL0012166989,接水盒,接水盒漏水
RL0012134095,制造问题,水泵线束松脱
RL0012134013,非产品质量问题,排水管漏水
RL0012127571,电磁阀,出水电磁阀滴水
RL0011181339,滤芯,RO滤芯堵塞
RL0010824449,电磁阀,废水电磁阀堵塞
RL0011107004,滤芯,RO滤芯堵塞
RL0011106975,滤芯,RO滤芯堵塞
RL0011011792,非产品质量问题,检测正常
RL0011240767,非产品质量问题,金属阀未打开
RL0011070853,电控板,闪屏
RL0011056001,非产品质量问题,金属三通堵塞
RL0011019864,低压开关,不出冷水
RL0011016271,电磁阀,热水电磁阀滴水
RL0011012768,电控板,不通电
RL0011011474,非产品质量问题,电源插座问题
RL0011008731,非产品质量问题,进水管弯折
RL0011001244,非产品质量问题,排水管漏水
RL0010940548,滤芯,RO滤芯堵塞
RL0010911479,非产品质量问题,排水管堵塞
RL0010902930,电磁阀,废水电磁阀堵塞
RL0010887760,非产品质量问题,用户电源问题
RL0010886424,漏水,排水管漏水
RL0010824461,滤芯,RO滤芯堵塞
RL0010781611,电磁阀,废水电磁阀堵塞
RL0010772438,滤芯,PP滤芯堵塞
RL0010766543,非产品质量问题,水管弯折
RL0010655359,非产品质量问题,金属三通堵塞
RL0010599075,非产品质量问题,排水管漏水
RL0010380919,电磁阀,热水电磁阀滴水
RL0010355492,电磁阀,出水电磁阀滴水
RL0010324957,非产品质量问题,定期来关机设置
RL0010323721,非产品质量问题,定期来关机设置
RL0010276445,电磁阀,热水电磁阀滴水
RL0010265054,非产品质量问题,用水量大
RL0010189293,滤芯,RO滤芯堵塞
RL0010183761,滤芯,异味更换后置炭滤芯
RL0010043626,电控板,不出水
RL0010021836,非产品质量问题,检测正常
RL0010015242,滤芯,RO滤芯堵塞
RL0009960746,非产品质量问题,解锁
RL0009957309,漏水,管接件漏水
RL0009927574,压力桶,压力桶泄压
RL0009897283,非产品质量问题,激活
RL0009854446,漏水,管接件漏水
RL0009912930,非产品质量问题,节能模式
RL0009912628,非产品质量问题,用户电源问题
RL0010824326,电磁阀,废水电磁阀堵塞
RL0011501418,不出水,管路问题
RL0011903018,非产品质量问题,排空水箱
RL0012190781,电磁阀,废水电磁阀堵塞
RL0012475632,电磁阀,废水电磁阀堵塞
