工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017692943,质量工单,Rule A.3: 核心部件更换,保内,2025-04-18 17:01:54,2025-06-12 18:43:19,2025-06-12 00:00:00,"净水设备 反渗透厨下式净水机,J3674-ROC120 b，天池SE，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",净水机,水路结构类,,上门维修,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)","金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",18998969717服务商代报，换三通,进水三通阀坏，机器出水小,更换进水三通阀后使用正常
WO0017727490,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-03 16:16:36,2025-05-23 12:33:21,2025-05-23 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,不出水，重启无效,水龙头不出水Pe管损坏,换管
WO0017567704,质量工单,Rule A.3: 核心部件更换,保内,2024-10-16 14:57:49,2025-04-09 09:25:18,2025-04-08 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",不制水,机器不工作，不出水,电源适配器烧毁更换，电源适配器
WO0017575577,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-11-11 13:56:11,2025-01-01 10:59:31,2025-01-01 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),饮水机,水路结构类,,上门维修,,,21016875 服务商代报维修,机器E1,正常
WO0017852403,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2024-09-10 08:33:39,2025-01-05 12:23:49,2025-01-05 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,"复合磷酸盐滤芯总成-SP J2736-ROC60,Φ42.2*98.5mm，含滤桶盖总成，滤桶总成，复合磷酸盐包装胶袋，售后用(白色)",净水机,滤芯类,,上门维修,"复合磷酸盐滤芯总成-SP J2736-ROC60,Φ42.2*98.5mm，含滤桶盖总成，滤桶总成，复合磷酸盐包装胶袋，售后用(白色)","复合磷酸盐滤芯总成-SP J2736-ROC60,Φ42.2*98.5mm，含滤桶盖总成，滤桶总成，复合磷酸盐包装胶袋，售后用(白色)",19818806449服务商代报维修出水小,纯水出水小，机器工作噪音大,免费更换磷酸盐滤芯
WO0017824437,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-05-16 14:10:50,2025-05-23 17:12:13,2025-05-23 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC210,网销专供(鹅黄色)",电商事业部,漏水保护开关 J2605-ROB60，进、出口3分快插，配有膨胀棉、双面胶纸、螺钉，68.2*70.5*37mm(白色),净水机,电气类,,上门维修,,,不出水    请先电话联系客户,不出水,漏水保护器跳阐复位
WO0017624898,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-09-18 13:18:06,2025-06-03 16:33:36,2025-06-03 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),净水机,电气类,,上门维修,,,13088631198服务商代报机器不出水,用户反应水龙头不出水,断电重启恢复
WO0017774651,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-16 15:55:55,,2025-06-18 00:00:00,"饮水机 台式制热单温机,Y3692TK-K-S(鹅黄色)",电商事业部,"微电脑电源板 Y3692TK-K-S,51*119MM(/)",饮水机,电气类,,上门维修,,,不出热水    请先电话联系客户,机器电脑板故障，导致机器不加热不出水。,机器电脑板故障，导致机器不加热不出水。客户昨天新买机器，不同意拆机维修。
WO0017659844,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-14 14:52:21,2025-03-02 16:47:12,2025-03-02 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"鹅颈龙头 J2738-ROC75,塑料阀芯,单柄,2分快插杆,一进一出,带包装盒，包装盒尺寸：385*175*35mm(/)",净水机,水路结构类,,上门维修,"鹅颈龙头 J2738-ROC75,塑料阀芯,单柄,2分快插杆,一进一出,带包装盒，包装盒尺寸：385*175*35mm(/)","鹅颈龙头 J2738-ROC75,塑料阀芯,单柄,2分快插杆,一进一出,带包装盒，包装盒尺寸：385*175*35mm(/)","客户留言:净水水龙头关不紧，漏水
故障类型：出水故障",水龙头滴水,更换水龙头
WO0017657947,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-21 13:30:44,,2025-06-07 00:00:00,"台式净饮机 台式净饮机,JY3693-ROT8H(迷你台式净饮机)(ANGEL白)",电商事业部,,净饮机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,一直提示鉴壶，保内,机器不工作、不出水,"用户明确表示新买的机器，不同意维修，强烈要求退换机,师傅已告知用户退换货与经销商协商处理"
WO0017670711,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2025-01-19 12:43:41,2025-04-06 10:27:06,2025-04-06 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",漏碳，保内，优先联系15171819503,纯水龙头出水时有黑色颗粒，多次反复冲洗一直存在，更换过一次US复合滤芯半月后又出现故障,再次更换US复合滤芯，反复冲洗滤芯后出水正常
WO0017734879,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-02-13 15:24:36,2025-06-02 15:20:32,2025-06-02 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,13808144375服务商代报，机器漏水，保内,侵水,重复新安装包扎
WO0017838340,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2025-03-13 16:50:30,2025-06-06 16:39:03,2025-06-06 00:00:00,"净水设备 反渗透厨下式净水机,J3442-ROC60,352*125*328mm(白+透明黑)",消费者事业部,"灯环龙头 不锈钢单水灯环龙头 红绿双色,进水1个，出水1个,1400±50MM,5V(原色)",净水机,电气类,,上门维修,,,维修，不停机。保内 请联系：13001320955,龙头松动,紧固龙头螺丝
WO0017629673,非质量工单,Rule 3: 最终安全网,保内,2024-08-09 11:09:06,2025-03-02 17:33:17,2025-03-02 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)",饮水机,电气类,,上门维修,,,15032990527服务商代报维修，有漂浮物,机器出水有漂浮物,工程师上门检查发现热水有漂浮物，上水多次冲洗水箱后，热水和温水出水正常
WO0017755675,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-02-10 13:38:40,2025-05-24 16:51:22,2025-05-24 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"金属阀 J2305-ROB8,T型三通Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5.7*Ф4.3*Ф3*45.75mm；密封垫;密封圈;过滤网(铜合金镀铬)",净水机,水路结构类,,上门维修,,,19316749308服务商代报维修，净水器不出水，软水机出水小，在保,不出水,清洗进水三通阀
WO0017852133,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-04-11 16:40:38,2025-05-18 16:52:21,2025-05-18 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC180,网销专供(鹅黄色)",电商事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,来电号码:13999904325;故障信息:漏水,排水管子用户拿出来了，漏水,重新紧固插紧
WO0017646296,非质量工单,Rule 3: 最终安全网,保内,2025-04-15 14:10:15,2025-06-01 19:07:37,2025-06-01 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"真空热罐总成J3540-ROC120H，130.5mm*220mm，热罐满载容量2.0L，温控器、NTC、固定环，固定片、出水管等,含发热盘220V/1500W",净饮机,电气类,,上门维修,,,13772102471服务商代报保内维修，漏电,触摸橱柜和天然气铁管道有漏电现象。,把我们净水机插头拔下断电后漏电现象还存在，证明不是我们净水机的问题。
WO0017565454,非质量工单,Rule 3: 最终安全网,保内,2024-10-11 19:38:52,2024-11-20 12:37:32,2024-11-20 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"微电脑显示板 Y3611BK-G,安吉尔壁挂管线机/80*135.5*1.5mm/刷胶(/)",饮水机,电气类,,上门维修,,,显示屏坏了    请先电话联系客户,线路接触不良,重新连接排线
WO0017776692,质量工单,Rule A.3: 核心部件更换,保内,2024-08-16 09:09:07,2024-09-06 15:21:55,2024-08-31 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)",净饮机,电气类,,上门维修,"高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)","高压开关 YK-D,两分快插,AC220V,≤5A，,0～0.6MPa(/)",故障类型：漏水故障,高压开关涨破,更换
WO0017589136,质量工单,Rule A.3: 核心部件更换,保内,2024-12-26 14:47:55,,2025-01-01 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"电源适配器 GM43-240160-D,输入200-240V, 50Hz - 60Hz，1.5A； 输出 DC24V, 1.6A(/)",净水机,电气类,,上门维修,"电源适配器 GM43-240160-D,输入200-240V, 50Hz - 60Hz，1.5A； 输出 DC24V, 1.6A(/)","电源适配器 GM43-240160-D,输入200-240V, 50Hz - 60Hz，1.5A； 输出 DC24V, 1.6A(/)",不通电，购机几个月,电源器坏,更换电源器
WO0017788483,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-19 10:18:58,2025-05-26 14:20:37,2025-05-26 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),饮水机,水路结构类,,上门维修,,,来电号码:13798281431;故障信息:机器故障具体故障问题请师傅先联系确认,管线就显示E1缺水,己修好
WO0017813986,质量工单,Rule A.3: 核心部件更换,保内,2024-08-12 15:51:46,2024-12-18 13:58:03,2024-12-18 00:00:00,"净水设备 反渗透厨下式净水机,J3460-ROC90,465*420*215mm(中框灰+侧板安吉尔白/不贴片)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",来电号码:15860521946;故障信息:不出水,一直启动,更换电源适配器
WO0017637401,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-10-24 10:13:25,2025-03-30 14:28:03,2025-03-30 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,来电号码:18020094093;故障信息:漏水,三分管,重新插已处理
WO0017727860,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-05-16 18:17:31,2025-06-12 14:36:15,2025-06-12 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,"电源适配器 GM13024005005DE,输入端：220V  2.5A  线长300mm，输出端：DC24V 5.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,,,13838550304服务商代报不通电,变压器损坏导致机器不通电，已更换。,变压器损坏导致机器不通电。已更换恢复。
WO0017540950,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-28 08:28:14,2025-05-24 17:00:37,2025-05-22 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,PE管 1/4，CCK管(白色)300米/卷,净水机,水路结构类,,上门维修,,,18659573222服务商代报维修，不出水,进水口接错,用户报错冷水进水口位置，维修完成
WO0017686249,质量工单,Rule A.3: 核心部件更换,保内,2024-11-06 14:13:43,2025-03-16 11:05:34,2025-03-16 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",19916023330经销商代报维修，不出水,无电显示,更换电源适配器
WO0017671577,非质量工单,Rule 3: 最终安全网,保内,2025-03-03 16:17:50,2025-05-31 16:47:30,2025-05-31 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,"电源适配器 GM43-240160-D,输入200-240V, 50Hz - 60Hz，1.5A； 输出 DC24V, 1.6A(/)",净水机,电气类,,上门维修,,,来电号码:13970500500;故障信息:机器故障具体故障问题请师傅先联系确认,净水器没灯不工作,适配器松动重新插紧
WO0017716526,非质量工单,Rule 3: 最终安全网,保内,2025-04-15 11:40:53,2025-06-12 11:31:39,2025-06-10 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"电控龙头J3675-ROC210,单出水屏显龙头,英仕,3.3V,一进一出,外露配线长1.4m,3分PE管,3个滤芯寿命灯(CFII+RO+NAC),TDS显示等,快接黑色",净水机,电气类,,上门维修,,,故障类型：出水故障,机器保护,重新启动，
WO0017805615,质量工单,Rule A.3: 核心部件更换,保内,2024-08-14 13:13:12,2024-08-30 13:05:36,2024-08-30 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"电控龙头J3540-R0C120H,A92731全新多功能（彩屏/数码/三色灯显示)，净沸水一体适配供电3.3V，两进一出，管外露1.2米，常温水3分快插，热水2分快插",净饮机,电气类,,上门维修,"电控龙头J3540-R0C120H,A92731全新多功能（彩屏/数码/三色灯显示)，净沸水一体适配供电3.3V，两进一出，管外露1.2米，常温水3分快插，热水2分快插","电控龙头J3540-R0C120H,A92731全新多功能（彩屏/数码/三色灯显示)，净沸水一体适配供电3.3V，两进一出，管外露1.2米，常温水3分快插，热水2分快插",645701163259278266 龙头坏了 保内请联系,龙头显示屏坏,换水龙头总成
WO0017723842,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-11-28 15:25:18,2025-05-04 18:17:50,2025-05-03 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"快插直接 PI0406(1/4*3/8快插),鼎臣DCC(白色)",净水机,水路结构类,,上门维修,,,维修 漏水,漏水,修复好重新安装
WO0017657875,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-03 16:56:26,2025-05-01 12:09:03,2025-05-01 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),饮水机,水路结构类,,上门维修,,,客户留言:管线机显示E1,不出水,整理管路
WO0017723157,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-31 22:55:21,2025-01-19 12:25:22,2025-01-19 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),饮水机,水路结构类,,上门维修,,,"客户留言:漏水
故障类型：漏水故障",漏水,接头漏水 ，已固定好
WO0017721262,质量工单,Rule A.3: 核心部件更换,保内,2024-09-30 16:10:41,2025-01-21 10:40:20,2025-01-21 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),净水机,电气类,,上门维修,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),15979911685用户来电正在维修，龙头漏水，保内。,龙头漏水，接头卡不住,更换
WO0017462804,质量工单,Rule A.3: 核心部件更换,保内,2025-02-26 10:51:09,2025-04-06 14:59:55,2025-04-06 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,"电源适配器 GM13024005005DE,输入端：220V  2.5A  线长300mm，输出端：DC24V 5.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 GM13024005005DE,输入端：220V  2.5A  线长300mm，输出端：DC24V 5.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",13124412305服务商代报，机器不通电,不过电,更换变压器
WO0017845808,非质量工单,Rule 3: 最终安全网,保内,2025-04-03 16:55:49,2025-06-11 09:52:50,2025-06-11 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),饮水机,水路结构类,,上门维修,,,经销商代报*顾客反馈管线机异响 麻烦预约师傅上门看看加急上门,检修机器，烧水声音比较大,已上门检修
WO0017808168,非质量工单,Rule 3: 最终安全网,保内,2025-05-08 15:23:43,2025-06-17 18:44:53,2025-06-17 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"绕丝加热体总成 2100W（1350W+750W）双功率,55*51*195mm,HT-JRTO3(FTN02),220VAC,50Hz,扬天,Y3415BK-G(/)",饮水机,电气类,,上门维修,,,不出热水    请先电话联系客户,不出热水 ,不换件 温控器跳闸了   温控器按钮退进去好了 
WO0017926552,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-06-04 16:09:21,2025-07-01 14:15:30,2025-07-01 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,快插弯头 PLC0404(1/4*1/4)(白色),净水机,水路结构类,,上门维修,,,18682322918服务商代报维修漏水,纯水接口漏水,更换接头
WO0017761404,质量工单,Rule A.3: 核心部件更换,保内,2025-03-08 15:12:51,2025-04-13 19:32:18,2025-04-13 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC210,网销专供(鹅黄色)",电商事业部,"电控龙头J3675-ROC210,单出水屏显龙头,英仕,3.3V,一进一出,外露配线长1.4m,3分PE管,3个滤芯寿命灯(CFII+RO+NAC),TDS显示等,快接黑色",净水机,电气类,,上门维修,"电控龙头J3675-ROC210,单出水屏显龙头,英仕,3.3V,一进一出,外露配线长1.4m,3分PE管,3个滤芯寿命灯(CFII+RO+NAC),TDS显示等,快接黑色","电控龙头J3675-ROC210,单出水屏显龙头,英仕,3.3V,一进一出,外露配线长1.4m,3分PE管,3个滤芯寿命灯(CFII+RO+NAC),TDS显示等,快接黑色",13779687027服务商代报维修，机器龙头不显示,水龙头不显示。,更换电控龙头
