工单单号,判定依据,故障部位名称,故障组,故障类别,服务项目或故障现象,故障件简称,来电内容,现场诊断故障现象,处理方案简述或备注,工单性质
WO0017813077,nan,"指示灯板总成 J2728-ROB90,91.5*46.5*15mm,含指示灯板总成,防静电袋等,物流码管控,售后专用(/)",净水机,电气类,nan,指示灯板总成,只能运行几个小时，20号有保养,不出水，拔电从起有可以，一直在冲洗,换高压开关，换主板,nan
WO0017813734,nan,聪明座 1351/1416/1262，Φ175*113mm(白01-02PP（安吉尔白)),饮水机,水路结构类,nan,聪明座,经销商代报，预约师傅检查饮水机，机身配件坏了,配件坏了,nan,非质量工单
WO0017814543,nan,"指示灯板总成 J3378-ROB120 a,91.6*46.6*13.5mm,含指示灯板总成,防静电袋等,物流码管控,售后专用(/)",净水机,电气类,nan,指示灯板总成,来电号码:19272067909;故障信息:不出水,不出水,nan,质量工单
WO0017824027,nan,"出水嘴总成 Y3316BK-G,包含出水嘴、出水嘴盖、出水嘴座、过滤网、包装胶袋，售后用(白色)",饮水机,水路结构类,nan,出水嘴总成,漏水,漏水水嘴滴水,换水嘴,nan
WO0017828959,nan,nan,净水机,产品鉴定,线上销售的产品质量鉴定,nan,声音大师傅说不正常，请先电话联系客户,噪音太大,上门开鉴定单。,nan
WO0017829405,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,免费更换顶盖,更换顶盖,nan
WO0017829727,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部产品升级,更换顶盖,nan
WO0017829795,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部产品升级,更换顶盖,nan
WO0017830599,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,系统升级免费更换滤桶盖,系统升级免费更换滤桶盖,nan
WO0017832329,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,更换顶盖,更换,nan
WO0017832479,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,免费换顶盖,nan,非质量工单
WO0017832577,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部产品升级,更换顶盖,nan
WO0017834010,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,滤桶盖总成,总部安排产品升级，免费更换顶盖,总部产品升级,更换顶盖,nan
WO0017834891,nan,"滤桶盖总成 J2641-US2000,包含滤桶盖、压板、阀芯、按钮、包装盒等，售后用(/)",中央系列,水路结构类,nan,nan,总部安排产品升级，免费更换顶盖,免费升级，更换顶盖。,免费升级，更换滤桶盖总成,nan
WO0017835613,nan,"出水嘴总成 Y3316BK-G,包含出水嘴、出水嘴盖、出水嘴座、过滤网、包装胶袋，售后用(白色)",饮水机,水路结构类,nan,出水嘴总成,屏幕按键没有反应，接热水出水慢，保外，联系请报价,出水嘴堵塞,更换新的出水嘴,nan
WO0017835703,nan,金属阀 J2604-ROB8，A4，45*43*28mm，金属阀，1/4接口，外螺纹G1/2，内螺纹G1/2(原色),净水机,水路结构类,nan,nan,经销商代报维修 机器漏水,漏水,上门检修,nan
