维修工单号,问题描述,故障件,解决方案,是否质量工单
WO0017181153,闪绿灯不出水,故障件待定,解决方案待定,质量工单
WO0017178045,进水三通漏水,进水三通,更换进水三通,非质量工单
WO0017147838,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017138392,出水小，噪音,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017238894,第一杯水TDS值高,无明确故障件,解释说明，业务端加强宣贯,非质量工单
WO0017198016,出水气泡，接头松动,无明确故障件,解释 ，紧固接头,非质量工单
WO0017257293,闪绿灯不出水,无明确故障件,开鉴定单退机,非质量工单
WO0017264403,龙头开关旋转生涩,水龙头,更换水龙头,质量工单
WO0017263050,废水管弹出,无明确故障件,重装废水管,非质量工单
WO0017243545,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017269804,漏水保护,漏保开关,复位漏保开关,非质量工单
WO0017223879,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017214620,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017267831,水质问题,无明确故障件,检测水质正常,非质量工单
WO0017235088,用户下水问题,无明确故障件,重新安装,非质量工单
WO0017222221,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017228762,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017287893,用户下水问题,无明确故障件,疏通下水道,非质量工单
WO0017291169,水龙头漏水,水龙头,更换水龙头,质量工单
WO0017247790,漏水保护,漏保开关,复位漏保开关,非质量工单
WO0017295540,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017295535,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017237480,闪绿灯,无明确故障件,上门检测正常,非质量工单
WO0017246788,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017229451,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017310010,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017309274,快插接头漏水,快插接头,更换快插接头,非质量工单
WO0017296778,闪绿灯不出水,金属三通,检修,非质量工单
WO0017304235,闪绿灯不出水,故障件待定,解决方案待定,质量工单
WO0017308103,水路板渗水,水路板,开鉴定单换机,非质量工单
WO0017259703,闪绿灯不出水,无明确故障件,开鉴定单退机,非质量工单
WO0017210714,水龙头开裂,水龙头,更换水龙头,质量工单
WO0017301250,废水管弹出,无明确故障件,重装废水管,非质量工单
WO0017306349,出水水质问题,无明确故障件,解释说明,非质量工单
WO0017325155,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017335477,闪绿灯不出水,无明确故障件,重启,非质量工单
WO0017338934,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017293013,水质检测,无明确故障件,检测水质正常,非质量工单
WO0017297292,不出水,无明确故障件,重新安装,非质量工单
WO0017213024,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017338028,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017304414,自动排废水,无明确故障件,解释说明,非质量工单
WO0017298133,水龙头漏水,水龙头,开鉴定单换机,质量工单
WO0017306445,噪音/异响,无明确故障件,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017320107,进水三通漏水,进水三通,更换进水三通,非质量工单
WO0017377191,自动冲洗,无明确故障件,调试,质量工单
WO0017382432,E8报警,插线端子,开鉴定单换机,质量工单
WO0017330002,不出水,无明确故障件,无具体解决方案,非质量工单
WO0017210895,漏水,无明确故障件,无具体解决方案,非质量工单
WO0017393526,指示灯不亮,故障件待定,开鉴定单换机,质量工单
WO0017402100,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017343305,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017414342,E8报警,线束端子,开鉴定单换机,质量工单
WO0017415807,金属阀损坏,金属阀,更换,非质量工单
WO0017416508,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017351956,TDS值不显示,故障件待定,解决方案待定,质量工单
WO0017353385,出水量小,无明确故障件,无具体解决方案,非质量工单
WO0017335515,闪绿灯不出水,接线端子,接线端子重接,质量工单
WO0017436637,漏水,无明确故障件,重装废水管,非质量工单
WO0017434522,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017382507,TDS值高,无明确故障件,冲洗,非质量工单
WO0017440394,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017376638,频繁启动,无明确故障件,开鉴定单退机,非质量工单
WO0017453390,不出水,漏报开关,重装漏保,非质量工单
WO0017456940,内部漏水,复合滤芯漏水,重装,质量工单
WO0017403733,水泵不工作,水泵,开鉴定单换机,质量工单
WO0017392346,噪音/异响,机壳,增加泵、机壳固定螺丝，修改机壳、底板模具,质量工单
WO0017458371,不出水,无明确故障件,重装滤芯,非质量工单
