工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017853996,非质量工单,Rule 3: 最终安全网,保内,2025-05-09 18:35:20,2025-06-22 14:47:46,2025-06-22 00:00:00,"净水设备 反渗透厨下式净水机,J3673-ROC120 b，玉龙SE，446*146*388mm(安吉尔白+秋驼色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,维修，师傅已上门,机器无电源显示,换机，开鉴定单
WO0017736818,非质量工单,Rule 3: 最终安全网,保内,2025-03-14 09:19:07,2025-06-08 08:54:22,2025-06-08 00:00:00,"过滤器 前置过滤器,J3632-GWG-7000(冰川灰)",消费者事业部,"滤网总成 J3533-GWG-5000, φ47.6*92.5mm，含转轴、分水板、骨架、上盖、下盖、涡轮、滤网、网刮、密封圈(/)",净水机,水路结构类,,上门维修,,,"客户留言:出水小
故障类型：出水故障",出水小,拆洗前置过滤器
WO0017776186,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-03-31 22:26:45,2025-06-16 13:00:38,2025-06-16 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"电磁阀 FPD-360Q60-DC24V,DC24V,210±50mA,3分U型接口,线长150mm,配送锁端子:SM-2A黑色,适用水压0.02-0.8MPa,进水电磁阀,常闭(/)",净饮机,电气类,,上门维修,,,来电号码:21010690;故障信息:漏水,机器漏水，,进水阀没有胶垫，重新安装。
WO0017539314,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-01-12 13:26:01,2025-05-26 16:06:39,2025-05-26 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,服务商代报维修  漏水,渗水,换胶垫
WO0017642495,非质量工单,Rule 3: 最终安全网,保内,2024-09-29 13:23:02,,2025-04-10 00:00:00,"饮水机 台式制热单温机,Y3692TK-K-S(鹅黄色)",电商事业部,"电热管2200W（800W+1400W）双功率,WHTF-269-6G-6（WH-307D使用），220V~ 2200W（800+1400W）供应商名称发热管组件",饮水机,电气类,,上门维修,,,25年4月7*京东购买，Y3692即热饮水机所有的水流越来越小，要求下周六上门,出水小,上门检测，出水量正常
WO0017582526,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-12-29 13:25:57,2025-01-24 17:51:25,2025-01-24 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,漏水保内请联系,客户下水溢流口反水,重新安装机子下水排水
WO0017641459,非质量工单,Rule 3: 最终安全网,保内,2024-12-23 19:51:58,2025-01-10 17:58:38,2025-01-10 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,,饮水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,维修有异味，师傅已上门,管线机出水有异味,用户不同意维修，用户与商家协商
WO0017799068,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-01-03 14:58:06,2025-06-21 18:10:44,2025-06-21 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,15077120368朋友代报不出水，24年9月购买，保内,新装机器不出水，开鉴定单,开鉴定单，用户要求换机
WO0017854584,质量工单,Rule A.3: 核心部件更换,保内,2025-04-16 11:14:55,2025-06-15 15:00:06,2025-06-15 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),净水机,电气类,,上门维修,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),故障类型：出水故障,龙头滴水,更换龙头，机器运行正常，龙头正常
WO0017533094,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-04-21 14:41:25,2025-05-24 10:35:30,2025-05-24 00:00:00,"过滤器 前置过滤器,J3623-SDG-6000(月光石灰)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,不出水  已上门,返冲洗一下自来水就能用几分钟过后水流就小了,客户跟卖家沟通退换货
WO0017567051,质量工单,Rule A.3: 核心部件更换,保内,2024-09-26 15:06:39,,2024-10-30 00:00:00,"饮水机 台式制热单温机,Y3692TK-K-S(鹅黄色)",电商事业部,"流量计 WFS-15H，线长200mm，XHB-3Y 白色/额定电压,电流：DC5V,≤5mA流量范围：0.1～1.2L/min(/)",饮水机,电气类,,上门维修,"流量计 WFS-15H，线长200mm，XHB-3Y 白色/额定电压,电流：DC5V,≤5mA流量范围：0.1～1.2L/min(/)","流量计 WFS-15H，线长200mm，XHB-3Y 白色/额定电压,电流：DC5V,≤5mA流量范围：0.1～1.2L/min(/)",维修没有沸水，不出水,显示灯闪烁不出热水,换流量计，机器正常使用
WO0017731831,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-12-25 13:50:39,2025-01-14 18:59:51,2025-01-14 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"跷板开关 10.5*28，250V 16A(白色主体,红色按钮)",饮水机,电气类,,上门维修,,,微信报维修，显示E6，保内,显示E1,调试
WO0017702950,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2025-03-20 10:22:08,2025-04-28 10:19:01,2025-04-28 00:00:00,"净水设备 反渗透厨下式净水机,J3669-ROC120，线下渠道，白色、全盖(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",15376393395服务商代报滤芯坏了,出来的水有碳渣,复合坏了更换复合
WO0017651588,非质量工单,Rule B.3: 用户/环境责任,保内,2025-03-04 13:07:22,2025-04-08 11:16:02,2025-04-08 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,波纹管-SP J2631-PS2000，1/2″*500mm(原色)6的倍数起订,净水机,水路结构类,,上门维修,,,031187817746服务商代报维修机器漏水,客户反映漏水,安吉尔净水机连接管路接口处未发现漏水，发现客户家下水处漏水，已吿诉客户。
WO0017566148,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-08-21 17:21:04,,2024-11-22 00:00:00,"饮水机 温热饮水机（茶吧机）,CB3581LK-J a,340*325*720mm(靠背1120mm)(白色系)",电商事业部,等径直管 ∮6mm，长度350mm，直管；(本色),饮水机,水路结构类,,上门维修,,,18087423905 服务商代报不出水,不出水,机器正常，指导使用
WO0017918966,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-03-13 16:50:14,2025-06-25 17:57:02,2025-06-25 00:00:00,"净水设备 反渗透厨下式净水机,J3442-ROC60,352*125*328mm(白+透明黑)",消费者事业部,"密封圈 O型,三元乙炳（EPDM) 5066-5D 水路板逆止阀专用 Φ：6*2mm 厂家：天道，用于水路板与泵连接(黑色)",净水机,水路结构类,,上门维修,,,漏水严重，保内，联系13925283630,水龙头密封圏断掉密封不好漏水,加装水龙头钢垫片，密封圏重新装一下处理好了
WO0017879761,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2024-12-18 19:34:11,,2024-06-30 00:00:00,"净饮机 台式净饮机,JY3491TK-ROK(降本版),2024款(奶杏色)",电商事业部,"水箱底座 JY3491TK-ROK,210*100*57.1mm,对应摩纳物料名称为原水箱座(奶杏色)",净饮机,水路结构类,,上门维修,,,机器不出水，重启无效，优先联系13467198161,进水口堵塞,水垢清洗
WO0017924821,非质量工单,Rule 3: 最终安全网,保内,2025-03-03 16:15:53,2025-06-30 14:49:39,2025-06-30 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,经销商代报，烧开水有泡沫 客户对情况不明确 需要师傅上门检测,检测水质,上门检测水质
WO0017652291,非质量工单,Rule B.3: 用户/环境责任,保内,2025-01-18 09:18:23,2025-03-10 12:16:14,2025-03-10 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,密封圈 O型，Ф2.8*Ф18mm(黑色),净水机,水路结构类,,上门维修,,,维修，水有异味， 师傅已上门,上门检测水质,上门检查水质没有问题，据分析应该是顾客家水壶带出来味道
WO0017824879,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-05-19 14:34:43,2025-06-26 09:29:04,2025-06-24 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC210,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,漏水    请先电话联系客户,漏水,用户要求换机
WO0017781652,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-03-04 13:07:22,2025-05-19 10:32:31,2025-05-19 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"灯显龙头 J3569-ROC120,2分PE管转3分快插口，一进一出，外露配线长1.4m，带LED灯显示及霍尔开关，LED灯供电：5V(原色)",净水机,电气类,,上门维修,,,经销商代报 红灯，不制水，,不制水,拔龙头插线，重启可以了。
WO0017749172,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-09-06 16:40:06,2024-11-09 18:43:42,2024-11-09 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,13026351329服务商代报漏水,漏水,废水管漏水  重新拆除 再固定  试机完成
WO0017611089,质量工单,Rule A.3: 核心部件更换,保内,2024-12-31 08:52:59,2025-02-24 15:54:09,2025-02-24 00:00:00,"管线饮水机 立式制热单温管线机,Y2611BK-K-G c(黑色)(黑色)",商用事业部,温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),饮水机,电气类,,上门维修,温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),21019489服务商代报维修，换温控器,改温控器,更换
WO0017560037,非质量工单,Rule 3: 最终安全网,保内,2024-12-26 18:32:13,2025-02-11 15:32:14,2025-02-11 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,"浮球开关 MLS-141D35-001,浮球数量1个,机械浮球,3/8″插杆,Y3415BK-G(白色)",饮水机,水路结构类,,上门维修,,,来电号码:18102642893;故障信息:机器故障具体故障问题请师傅先联系确认,管线机有异味,管线机有异味，更换饮水管，已正常
WO0017778106,质量工单,Rule A.4: 滤芯质量缺陷，命中关键词：“黑渣”,保外转保内,2025-01-09 10:54:01,2025-05-16 13:08:12,2025-05-16 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",维修--何文杰,出水有黑渣,上门检测后纯水出水有黑色漂浮物，申请总部免费更换活性炭滤芯后出水正常
WO0017566660,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-26 09:16:36,2025-04-29 17:58:00,2025-04-29 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"快插直接 PI0406(1/4*3/8快插),鼎臣DCC(白色)",净水机,水路结构类,,上门维修,,,不出水，漏水  师傅已上门,水龙头滴水,己处理好，保内
WO0017805261,质量工单,Rule A.3: 核心部件更换,保内,2024-08-09 11:09:18,2024-09-16 09:52:51,2024-09-16 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)",饮水机,电气类,,上门维修,"微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)","微电脑电源板 Y3611BK-G,电源板：供应商宁波祈禧，AC220V 长宽151.6*55(/)",不通电  师傅已上门,插线板坏,正常更换
WO0017882299,非质量工单,Rule B.1: 外部加装,保内,2024-12-28 08:28:14,2025-06-29 11:18:10,2025-06-29 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,,净水机,安全维护,加装排水盒总成,上门维修,,"排水盒总成 LBJ-2701,152.0*102.0*67.0mm,与管线机配套用(白色)",13369148546  经销商代报   加装水盒子,通往管线机水质偏高,解决通往管线机水质偏高，加装排水盒总成
WO0017775930,非质量工单,Rule 3: 最终安全网,保内,2024-12-07 14:35:43,2025-04-28 11:14:28,2025-04-28 00:00:00,"过滤器 前置过滤器,J3534-GWG-5000(玛瑙灰+咖啡金)",消费者事业部,"滤网总成 J3532-GWG-6000,含滤芯架、滤网、刮条、包装胶袋等，售后专用(/)",净水机,水路结构类,,上门维修,,,家里用水都是忽大忽小，请先联系上门,自来水压力不稳,拆开重装
WO0017611079,质量工单,Rule A.3: 核心部件更换,保内,2024-12-31 08:53:01,2025-02-24 16:04:17,2025-02-24 00:00:00,"管线饮水机 立式制热单温管线机,Y2611BK-K-G c(黑色)(黑色)",商用事业部,温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),饮水机,电气类,,上门维修,温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),温度感应器（NTC) MF51C-3600-103T(φ3.5-20不锈钢头-线长320-黄色XHB2带锁)(黑色),21019489服务商代报维修，换温控器,改温控器,更换温控器
WO0017877621,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2025-05-10 15:11:21,2025-05-28 11:02:35,2025-05-28 00:00:00,"净水设备 反渗透厨下式净水机,J3745-ROC90,352*125*328mm(透明黑+冰川灰)",消费者事业部,"灯环龙头 不锈钢单水灯环龙头 红绿双色,进水1个，出水1个,1400±50MM,5V(原色)",净水机,电气类,,上门维修,,,15727097380服务商代报  龙头生锈,笼头生锈,清洗笼夫
WO0017573165,质量工单,Rule 8.3: 有故障且非简单维护,保内,2025-01-18 09:18:23,2025-05-27 17:12:33,2025-05-27 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,快插弯头 J2608-ROB120，PLC0406(1/4*3/8)(白色),净水机,水路结构类,,上门维修,,,来电号码:13600151526;故障信息:漏水,漏水,以修好
WO0017704623,非质量工单,Rule 8.3: 有故障但维护/复位解决,保内,2025-02-22 16:10:47,2025-06-02 10:35:42,2025-06-02 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"跷板开关 10.5*28，250V 16A(白色主体,红色按钮)",饮水机,电气类,,上门维修,,,显示E6（顺便现场跟用户讲解一下净水机的使用方法）,不出水,重启机器
WO0017684704,非质量工单,Rule 3: 最终安全网,保内,2025-01-07 19:23:37,,2025-06-11 00:00:00,"净饮机 台式净饮机,JY3491TK-ROK(降本版),2024款(奶杏色)",电商事业部,"厚膜发热管总成 JY3491TK-ROK,JY3491TK,2180W/220V含速加热电热管,手动复位温控器,自动复位温控器,温度感应器等物料,对应摩纳物料名称为加热模块(/)",净饮机,电气类,,上门维修,,,出水温度不够上门检测    请先电话联系客户,检测水温,第一杯水的温度达不到客户要求，连接几杯泡奶的温度在40度，沸水第一杯温度也有点低，放第22背的话温放第22背的话温度应放第二杯的话温度应该能达达到要放第二杯的话，温度应该能达到要求，现在客户要求是第一杯水的温度达不到客户心理要求
WO0017852538,非质量工单,Rule B.3: 用户/环境责任,保内,2025-03-14 09:18:27,2025-06-20 11:03:53,2025-06-20 00:00:00,"过滤器 前置过滤器,J3632-GWG-7000(冰川灰)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,18971623625服务商代报维修，漏水，保内,客户反应漏水，是台盆渗水流到前置,已告知用户台盆漏水导致
WO0017774709,非质量工单,Rule 3: 最终安全网,保内,2024-08-22 15:02:05,,2025-01-20 00:00:00,"饮水机 温热饮水机（茶吧机）,CB3581LK-J a,340*325*720mm(靠背1120mm)(白色系)",电商事业部,"控制板 CB3581LK-J,925按键板温(多温昔恩斯);双抽水;单温机;220V~50Hz;210*61mm; ZX-SNF-CB06GY1；(/)",饮水机,电气类,,上门维修,"控制板 CB3581LK-J,925按键板温(多温昔恩斯);双抽水;单温机;220V~50Hz;210*61mm; ZX-SNF-CB06GY1；(/)","控制板 CB3581LK-J,925按键板温(多温昔恩斯);双抽水;单温机;220V~50Hz;210*61mm; ZX-SNF-CB06GY1；(/)","客户留言:按键经常失灵
故障类型：电气故障",加热键不灵敏,更换控制板
WO0017683554,质量工单,Rule A.3: 核心部件更换,保内,2025-02-13 15:24:36,2025-05-24 18:28:19,2025-05-24 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),净水机,电气类,,上门维修,灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),灯显龙头 J3539-ROC120，3分快插，一进一出，外露配线长1.1m(黑+银),来电号码:18645322468;故障信息:漏水,龙头漏水,换龙头好使了
WO0017523475,非质量工单,Rule 3: 最终安全网,保内,2025-03-13 16:50:06,2025-05-23 23:15:31,2025-05-23 00:00:00,"净水设备 反渗透厨下式净水机,J3442-ROC60,352*125*328mm(白+透明黑)",消费者事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,"客户留言:出水很少。
故障类型：出水故障,制水故障",出水小,客户退货
WO0017639208,质量工单,Rule A.4: 滤芯质量缺陷，命中关键词：“碳粉”,保内,2025-02-11 10:15:05,2025-04-20 10:17:39,2025-04-20 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,,净水机,安全维护,改善口感，增加后置活性炭,上门维修,,"活性炭滤芯成品-SP 后置T33,快插式,Φ54 250mm,含可乐丽活性炭,滤桶,滤桶盖,底座,固定架等,批件型号LX-201GAC180,售后专用(白色)",接出水来会有小石子，请师傅上门前先电话联系,饮用水出水口有活性炭碳粉,加装后置活性炭
WO0017609954,非质量工单,Rule 8.3: 无故障仅维护/解释,保内,2024-12-28 09:16:03,,2025-06-05 00:00:00,"净饮机 台式净饮机,JY3491TK-ROK(降本版),2024款(奶杏色)",电商事业部,"排水接头 JY3491TK-ROK,Φ8*16.3mm,对应摩纳物料名称为排水塞(原色)",净饮机,水路结构类,,上门维修,,,17756287729男用户代报维修，制水慢，购机几天，保内，师傅已上门,制水慢有异响,重新安装滤芯，机器恢复正常
