工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0017651777,质量工单,"Rule A3: 核心部件库外，但""更换""表明需更换部件，非用户/环境原因",保内,2024-10-28 11:13:20,2025-05-23 12:05:04,2025-05-23 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,维修,不出,更换
WO0017638605,非质量工单,Rule B3: 处理方案明确指向用户水龙头关闭不严，非产品缺陷,保内,2025-01-12 13:26:01,2025-05-17 10:34:01,2025-05-17 00:00:00,"净水设备 反渗透厨下式净水机,J3606-ROC120，线下渠道，白色(白色)",消费者事业部,"快插弯头 J3379-ROB60T,L型、PLC0606(3/8*3/8）一头接接头，另一头接PE管(白色)",净水机,水路结构类,,上门维修,,,机器异响，师傅已上门，保内,频繁启动,客户水龙头关闭不严，已修复
WO0017615528,质量工单,"Rule A1: 购机日期2025-02-15，安装日期2025-02-15，处理方案含""换机""，满足新机黄金法则",保内,2024-12-26 21:45:55,2025-02-15 11:54:17,2025-02-15 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G(深空灰)",电商事业部,"微电脑显示板 Y3611BK-G,安吉尔壁挂管线机/80*135.5*1.5mm/刷胶(/)",饮水机,电气类,,上门维修,,,经销商代报管线机热水出水异常,触摸健不灵敏，屏幕跳动，热水出水喷溅，断续,检修，客户不愿维修，要求换机
WO0017616065,质量工单,"Rule A1: 购机日期2025-06-07，安装日期2025-06-07，处理方案含""换机""，满足新机黄金法则",保内,2024-11-05 10:53:24,2025-06-07 10:09:43,2025-06-07 00:00:00,"管线饮水机 嵌入式压缩制冷双温管线机,Y3660QKY-K-G(双温),595mm(长)*285mm（宽）*455mm（高）(黑色)",消费者事业部,"面板总成 Y3659QK-K-G,595*455*140mm,包含：面板装饰板，面板,显示支架，接水盒外框，3M胶，包装袋等组装好后的总成 ,售后专用(黑色)",饮水机,水路结构类,,上门维修,,,18091135657服务商代报维修漏水,出水口底部漏水,换机，发现漏水有点多，暂时给换一台新机
WO0017557885,质量工单,Rule A5: 保外转保内 + 滤芯更换（活性炭滤芯），满足保外转保内+滤芯规则,保外转保内,2025-02-22 13:40:51,2025-04-30 11:34:41,2025-04-30 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,"活性炭滤芯成品-SP J3539-ROC120,φ58*250.5mm,包含活性炭滤芯、滤桶等,批件型号:LX-302ACA120,售后专用(/)",净水机,滤芯类,,上门维修,"活性炭滤芯成品-SP J3539-ROC120,φ58*250.5mm,包含活性炭滤芯、滤桶等,批件型号:LX-302ACA120,售后专用(/)","活性炭滤芯成品-SP J3539-ROC120,φ58*250.5mm,包含活性炭滤芯、滤桶等,批件型号:LX-302ACA120,售后专用(/)",15819839988服务商代报维修，出水有异味,直饮水出来的冷水无异味，但是烧开后明显，检测水质+余氯。检测水质无问题，但是烧开之后经过末端会有异味，换后炭走核销,更换解决
WO0017823589,质量工单,"Rule A2: 服务项目=线上销售的产品质量鉴定，处理方案含""分贝""，满足产品鉴定政策",保内,2025-04-21 11:28:29,2025-06-22 11:29:09,2025-06-22 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC180,网销专供(鹅黄色)",电商事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,声音大 加急上门检测下 分贝情况    请先电话联系客户,用户嫌声音大,上门测分贝
WO0017510825,非质量工单,Rule B3: 处理方案为检测正常，无产品缺陷,保内,2025-02-22 17:22:47,2025-05-23 15:36:40,2025-05-23 00:00:00,"净水设备 反渗透厨下式净水机,J3680-ROB15(安吉尔白+帝都灰)",电商事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,废水过多，用户要求安排上次安装的师傅上门查看,检测纯水500ml，废水310ml,检测纯水500ml，废水310ml
WO0017653924,质量工单,Rule A5: 保外转保内 + 滤芯更换（复合滤芯），满足保外转保内+滤芯规则,保外转保内,2025-01-18 10:18:17,2025-03-21 15:07:48,2025-03-21 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",净水机,滤芯类,,上门维修,"复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字","复合滤芯成品-SPJ3669-ROC90,Ф98*325.5mm含活性炭滤芯（APCM）、滤桶、包装胶袋等,批件型号:LX-303US-PPSC180,箱式，售后专用白蓝底+银字",机器出水杂质,出水有黑点,用户于2025.3.21号购机并安装，（工单号WO0016889201），2025.6.9客户请求维修说出水有黑点（工单号WO0017552190）经工程师上门检测是复合滤芯出现了问题，更换复合滤芯后出水正常，但客户并不认可付费特此提出滤芯核销，经与客服经理沟通，本次给用户免费更换复合滤芯，请领导批准.
WO0017731719,质量工单,Rule A3: 核心部件库外，但软管裂开需更换PE管，非用户/环境原因,保内,2025-02-28 20:44:07,2025-06-14 13:44:35,2025-06-14 00:00:00,"净水设备 反渗透厨下式净水机,J3673-ROC120 b，玉龙SE，446*146*388mm(安吉尔白+秋驼色)",电商事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,,,来电号码:18680533934;故障信息:不出水,机器不出水，漏水,软管裂开了，更换PE管
WO0017779725,非质量工单,Rule B3: 处理方案为调整安装位置，非产品缺陷,保内,2025-03-18 16:11:04,2025-05-24 09:38:19,2025-05-24 00:00:00,"净水设备 反渗透厨下式净水机,反渗透直饮机J3608-ROC120(152*352*430mm),内配前置ACF3000(220*192*435mm)(白+灰)",消费者事业部,波纹管-SP J2651-US3000，1″*700mm(原色)6的倍数起订,净水机,水路结构类,,上门维修,,,管子移一下，已上门,安装管路位置不对,更换安装位置，调整波纹管
WO0017542791,非质量工单,Rule B3: 处理方案明确指向用户插座问题，非产品缺陷,保内,2025-03-26 14:00:52,2025-05-17 10:46:21,2025-05-17 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,,,维修   不通电，师傅已上门,用户家插座有问题，会不通电,让用户重新排电
WO0017606774,非质量工单,Rule B2: 服务项目=改善口感，增加后置活性炭，满足安全维护规则,保内,2024-10-28 08:09:45,2025-05-02 09:28:20,2025-05-02 00:00:00,"净水设备 反渗透厨下式净水机,J3626-ROC60，线下渠道，白色、半盖(白色)",消费者事业部,,净水机,安全维护,改善口感，增加后置活性炭,上门维修,,活性炭滤芯成品-SP 2016年LOGO，后置活性炭T33，快插式，带包装盒家用净水器专配(/),维修有异味  师傅已上门,口感不好  加装后置碳,
WO0017671445,质量工单,"Rule A1: 购机日期2025-05-20，安装日期2025-05-20，处理方案含""换机""，满足新机黄金法则",保内,2024-11-05 13:36:53,2025-05-20 17:04:42,2025-05-20 00:00:00,"净水设备 反渗透厨下式净水机,J3646-ROB120,带WIFI版(星银灰+瓦峰灰)",消费者事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,来电号码:18750362000;故障信息:漏水,机器内部漏水,用户5.20安装还未开始使用，机器内部一直渗水，用户不修要换机
WO0017600932,非质量工单,Rule B3: 处理方案为解释气泡为正常物理现象，非产品缺陷,保内,2024-09-09 14:42:35,2024-12-08 16:28:50,2024-12-08 00:00:00,"净水设备 反渗透厨下式净水机,J3540-ROC120H,430*430*150mm(白+红)",消费者事业部,"电控龙头J3540-R0C120H,A92731全新多功能（彩屏/数码/三色灯显示)，净沸水一体适配供电3.3V，两进一出，管外露1.2米，常温水3分快插，热水2分快插",净饮机,电气类,,上门维修,,,18670229690服务商代报维修，出水有杂质,出水有杂质,气泡比较多  正常物理现象  已解释
WO0017827815,非质量工单,Rule B3: 处理方案为介绍使用方法，非产品缺陷,保内,2025-02-28 14:57:20,2025-06-06 12:53:05,2025-06-06 00:00:00,"净水设备 反渗透厨下式净水机,J3505-ROC90(2025版),A7 SE 600，内配预处理J3507-ACF1000(白色)",消费者事业部,,净水机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,机器废水多，保内，优先联系沟通,客户说机器异常冲洗，排废水多,给客户详细介绍产品使用方法以及注意事项。接水后设备正常冲洗，无异常。
WO0017717277,非质量工单,Rule B3: 处理方案明确指向用户水龙头漏水，非产品缺陷,保内,2025-02-10 14:42:45,2025-06-16 11:14:04,2025-06-16 00:00:00,"净水设备 反渗透厨下式净水机,J3429-ROC90，线下渠道，白色、全盖，不带第一杯水(白色)",消费者事业部,"鹅颈龙头 J2738-ROC75,塑料阀芯,单柄,2分快插杆,一进一出,带包装盒，包装盒尺寸：385*175*35mm(/)",净水机,水路结构类,,上门维修,,,机器一直排废水,机器频繁启动。,水龙头漏水。已修复。
WO0017516706,非质量工单,Rule B3: 处理方案为调整进水阀，非产品缺陷,保内,2025-01-06 11:27:57,2025-04-11 14:53:48,2025-04-11 00:00:00,"管线饮水机 壁挂式单温管线饮水机,Y3611BK-G w(白色款)(白色)",电商事业部,"出水嘴 Y3611BK-G,安吉尔壁挂机/PP HJ730 /87*55*89mm//乳白色(白色)",饮水机,水路结构类,,上门维修,,,经销商代报维修 显示E1,调试,调整进水阀。
WO0017862541,质量工单,Rule A3: 核心部件库外，但水龙头滴水需更换龙头，非用户/环境原因,保内,2025-04-18 17:01:28,2025-06-10 19:07:57,2025-06-10 00:00:00,"净水设备 反渗透厨下式净水机,J3674-ROC120 b，天池SE，446*146*388mm(安吉尔白+天空蓝)",电商事业部,鹅颈龙头 J3674-ROC120 b，鹅颈龙头，2分PE管，二进一出，带单独外包装，售后专用(原色),净水机,水路结构类,,上门维修,鹅颈龙头 J3674-ROC120 b，鹅颈龙头，2分PE管，二进一出，带单独外包装，售后专用(原色),鹅颈龙头 J3674-ROC120 b，鹅颈龙头，2分PE管，二进一出，带单独外包装，售后专用(原色),15608600772服务商代报保内维修，水龙头滴水,水龙头滴水,
WO0017323096,质量工单,Rule A3: 核心部件库外，但TDS传感器更换，非用户/环境原因,保内,2025-03-25 11:12:11,2025-03-31 21:03:28,2025-03-31 00:00:00,"净水设备 反渗透厨下式净水机J3675-ROC150,网销专供(鹅黄色)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",经销商代报机器故障,E8,
WO0017679713,质量工单,"Rule A2: 服务项目=线上销售的产品质量鉴定，处理方案含""鉴定单""，满足产品鉴定政策",保内,2025-04-17 14:55:30,,2025-06-11 00:00:00,"台式净饮机 台式净饮机,JY3693-ROT8H(迷你台式净饮机)(ANGEL白)",电商事业部,,净饮机,产品鉴定,线上销售的产品质量鉴定,上门维修,,,故障类型：电气故障,机器一直显示换水，重新加水也是一样,师傅上门检查屏幕一直显示换水，重新加水，重新放置原水箱也是一直显示换水，客户不愿意维修要求开鉴定单
