工单单号,工单性质,判定依据,保内保外,批次入库日期,安装日期,购机日期,产品名称,开发主体,故障部位名称,故障组,故障类别,服务项目或故障现象,维修方式,旧件名称,新件名称,来电内容,现场诊断故障现象,处理方案简述或备注
WO0018167493,质量工单,Rule A.3: 核心部件更换,保外,2021-08-05 10:42:05,2021-10-30,2021-10-30,S6 Plus，J3306-ROB75，银色喷油+白色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,不通电,更换电源
WO0018167947,质量工单,Rule A.3: 核心部件更换,保内,2023-02-17 14:29:32,2023-04-29,2023-04-29,J2944-ROB60，装企小金砖，咖啡金+月光石灰,消费者事业部,"高压开关 YK-25,（塑胶）2分快插杆,AC220V≤5A,0～0.6MPa,CQC认证,水压在0.25-0.35MPa时断开；当水压在0.07-0.17MPa时闭合。(白色)",净水机,电气类,,上门维修,"高压开关 YK-25,（塑胶）2分快插杆,AC220V≤5A,0～0.6MPa,CQC认证,水压在0.25-0.35MPa时断开；当水压在0.07-0.17MPa时闭合。(白色)","高压开关 YK-25,（塑胶）2分快插杆,AC220V≤5A,0～0.6MPa,CQC认证,水压在0.25-0.35MPa时断开；当水压在0.07-0.17MPa时闭合。(白色)",频繁启动，师傅已上门,频繁启动,换高压开关
WO0018168770,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2024-12-20 20:30:06,2025-03-15,2025-03-15,"净水设备 反渗透厨下式净水机,J3674-ROC150，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)",净水机,滤芯类,,上门维修,"复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)","复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)",故障类型：出水故障,机器出水很小，振动声音大,更换复合滤芯，试机正常
WO0018168912,质量工单,Rule A.3: 核心部件更换,保内,2022-09-05 10:32:30,2022-12-06,2022-11-24,"净水设备 反渗透厨下式净水机,J3472-ROB90,常规版(淡黄色)",消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",请先电话联系客户,不工作,
WO0018170393,质量工单,Rule A.3: 核心部件更换,保内,2023-11-14 15:23:24,2025-07-26,2025-03-01,净水设备 反渗透挂壁式净水机J2403-ROB60 (白色+黑色+褐色),电商事业部,"指示灯板总成-SP J2405-ROB60,A6+,225.4*48.4*13.3mm,含指示灯板、防水罩、灌胶,含包装盒。(/)",净水机,电气类,,上门维修,"指示灯板总成-SP J2405-ROB60,A6+,225.4*48.4*13.3mm,含指示灯板、防水罩、灌胶,含包装盒。(/)","指示灯板总成 J2605-ROB60,225.4*48.4*13.3mm,含指示灯板、防水罩、灌胶、带天线（天猫精灵）(/)",故障类型：出水故障,不出水,
WO0018174427,质量工单,Rule A.3: 核心部件更换,保内,2022-05-09 16:18:53,2022-08-26,2022-08-26,"净水设备 反渗透厨下式净水机J3473-ROB90,2022款,京东专供(浅灰色+青灰)",电商事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","客户留言:不通电
故障类型：电气故障",机器不通电,
WO0018174593,质量工单,Rule A.3: 核心部件更换,保内,2023-02-02 07:59:15,2023-03-18,2023-03-18,A7 Lite，J2908-ROC60，内配PS1000，2020防伪款，带后置炭，白色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：出水故障,不出水,更换电源
WO0018176241,质量工单,Rule A.3: 核心部件更换,保内,2022-10-21 13:02:04,2022-12-30,2022-12-30,A7 Pro，J3307-ROC90，内配ACF1200，带防伪功能，暗金棕色+深灰色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,不通电,更换
WO0018179904,质量工单,Rule A.3: 核心部件更换,保内,2023-09-22 18:58:21,2024-07-24,2024-07-24,A7 SE 600，J3505-ROC90，内配ACF1000，白色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,电源适配器,更换
WO0018185073,质量工单,Rule A.3: 核心部件更换,保内,2024-10-30 19:37:04,2024-11-30,2024-11-30,"净水设备 反渗透厨下式净水机,J3673-ROC150，446*146*388mm(安吉尔白+秋驼色)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",请先电话联系客户,TDS不显示,更换TDS传感器
WO0018185217,质量工单,Rule A.3: 核心部件更换,保内,2024-11-16 15:11:54,2025-01-11,2025-01-11,"净水设备 反渗透厨下式净水机,J3674-ROC150，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"电控龙头 J3674-ROC150双水屏显龙头，英仕3.3V，两进一出/常温水(净水+纯水)/带单独外包装，售后专用,快接(黑色)",净水机,电气类,,上门维修,"电控龙头 J3674-ROC150双水屏显龙头，英仕3.3V，两进一出/常温水(净水+纯水)/带单独外包装，售后专用,快接(黑色)","电控龙头 J3674-ROC150双水屏显龙头，英仕3.3V，两进一出/常温水(净水+纯水)/带单独外包装，售后专用,快接(黑色)",漏水    请先电话联系客户,龙头漏水,
WO0018186453,质量工单,Rule A.3: 核心部件更换,保内,2024-06-08 18:03:45,2024-06-15,2024-06-15,"净水设备 反渗透厨下式净水机,J3674-ROC120，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",净水机,电气类,,上门维修,"TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)","TDS传感器 J3539-ROC120,φ12*255mm，线长200mm(白色)",服务商代报维修， tds不显示,不显示水质,
WO0018186779,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-11-20 16:00:57,2024-12-19,2024-12-19,"净水设备 反渗透厨下式净水机,J3673-ROC150，446*146*388mm(安吉尔白+秋驼色)",电商事业部,PE管 等径直管，3/8″(白色),净水机,水路结构类,,上门维修,PE管 等径直管，3/8″(白色),PE管 等径直管，3/8″(白色),"客户留言:不通电
故障类型：电气故障",漏水,水管更换
WO0018187036,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2024-04-29 10:51:26,2025-01-06,2025-01-06,"净水设备 活性碳厨下式净水机,J3539-ACF4000(M7 HOME 预处理),192*450*440mm(白+灰)",消费者事业部,"PP复合滤芯成品-SP J3539-ACF4000,φ166*364.8mm,镭雕B,包含PP复合滤芯、滤桶等,批件型号:LX-310US-PCF2000,售后专用(/)",中央系列,滤芯类,,上门维修,"PP复合滤芯成品-SP J3539-ACF4000,φ166*364.8mm,镭雕B,包含PP复合滤芯、滤桶等,批件型号:LX-310US-PCF2000,售后专用(/)","PP复合滤芯成品-SP J3539-ACF4000,φ166*364.8mm,镭雕A,包含PP复合滤芯、滤桶、装饰贴等,批件型号:LX-310US-PCF2000,售后专用(/)",经销商代报维修,滤芯漏碳,
WO0018187562,非质量工单,Rule 3: 最终安全网,保外,,,2023-07-06,"直饮机 立式反渗透电子制冷双温直饮机,Y1251LKD-ROM(2020租赁升级款),Y1251LKD-ROM（2020租赁升级款）(银色+白色)",商用事业部,电子冷胆 固定孔距：65*61.5 mm，0.6升，带扎线槽，带锁扣端子(白色),净饮机,电气类,,上门维修,电子冷胆 固定孔距：65*61.5 mm，0.6升，带扎线槽，带锁扣端子(白色),电子冷胆 固定孔距：65*61.5 mm，0.6升，带扎线槽，带锁扣端子(白色),更换冷胆 物流码645279906854362602,冷胆不工作,
WO0018190946,质量工单,Rule A.3: 核心部件更换,保内,2022-05-23 09:22:59,2023-06-20,2023-06-20,X5，J2822-ROB60，浅灰+黑色,电商事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",不出水,不出水,换电源
WO0018191995,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-12-11 08:54:00,2025-03-01,2025-03-01,"净水设备 反渗透厨下式净水机,J3674-ROC150，446*146*388mm(安吉尔白+天空蓝)",电商事业部,PE管 3/8白色，CCK管(白色)150米/卷,净水机,水路结构类,,上门维修,PE管 3/8白色，CCK管(白色)150米/卷,"PE管 等径直管,1/4″(白色)",经销商代报维修 水阀漏水  加急,客户家管子漏水,
WO0018192147,质量工单,Rule A.3: 核心部件更换,保外,2022-06-15 07:54:20,2022-09-11,2022-09-08,管线机Y3316BK-G c，白色,消费者事业部,浮球开关 单个液位、两插端子、线长350mm、红色带锁端子(白色),饮水机,电气类,,上门维修,浮球开关 单个液位、两插端子、线长350mm、红色带锁端子(白色),浮球开关 单个液位、两插端子、线长350mm、红色带锁端子(白色),漏水    请先电话联系客户,机器漏水,
WO0018193780,质量工单,Rule A.3: 核心部件更换,保外,2016-08-15 00:00:00,2016-10-11,2016-10-08,"净水设备 反渗透挂壁式净水机J2405-ROB60(A8),大通量(白色01-04喷油)",消费者事业部,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",净水机,水路结构类,,上门维修,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)","金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",故障类型：漏水故障,漏水,更换进水三通
WO0018194825,质量工单,Rule A.3: 核心部件更换,保内,2024-11-08 08:51:39,2024-12-29,2024-12-29,"净水设备 厨下式反渗透直饮机,J3406-ROC90H(IoT版)(轻奢黄)",电商事业部,"浮球开关 LS-2B-147,2,480±20mm,XHQ-3Y端子(白色)",净饮机,电气类,,上门维修,"浮球开关 LS-2B-147,2,480±20mm,XHQ-3Y端子(白色)","浮球开关 LS-2B-147,2,480±20mm,XHQ-3Y端子(白色)",故障类型：漏水故障,漏水,换浮球
WO0018194844,质量工单,Rule A.3: 核心部件更换,保内,2023-10-28 13:53:24,2024-05-31,2024-05-31,"净水设备 反渗透厨下式净水机J2806-ROB90(IOT版),网销专供(浅黄色+乳白色)",电商事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,机器不通电,
WO0018196519,质量工单,Rule A.3: 核心部件更换,保内,2023-03-16 08:27:13,2023-08-06,2023-08-06,J2789-ROB60，线下版，蓝色+白色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,不通电,换电源
WO0018198828,质量工单,Rule A.3: 核心部件更换,保内,2025-02-24 15:55:15,2025-07-15,2025-07-15,"净水设备 反渗透厨下式净水机,J3674-ROC120，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",净水机,水路结构类,,上门维修,"金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)","金属阀 J2305-ROB8,T型三通3分水嘴;Ф20.8(G1/2外)*Ф18.9(G1/2内)*Ф5*45.75*52.8mm；密封垫;密封圈;过滤网(镀铬)",来电号码:087168333801;故障信息:漏水,三角阀漏水,师傅上门更换金属三角阀好了不漏水了
WO0018199674,质量工单,Rule A.3: 核心部件更换,保内,2023-12-13 13:58:30,2025-03-26,2025-03-26,净水设备 反渗透挂壁式净水机J2403-ROB60 (白色+黑色+褐色),电商事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",不出水 已上门,不出水,更换电源适配器
WO0018202381,质量工单,Rule A.5: 特殊政策触发（保外转保内+滤芯）,保外转保内,2024-09-12 08:24:43,2024-10-27,2024-10-27,"净水设备 反渗透厨下式净水机,J3674-ROC150，446*146*388mm(安吉尔白+天空蓝)",电商事业部,"复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)",净水机,滤芯类,,上门维修,"复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)","复合滤芯成品-SP J3673-ROC120,Ф98*357.5mm,含活性炭滤芯,PP滤芯,滤桶,包装胶袋等,批件型号:LX-3622US-PPC180,箱式,售后专用(/)",维修。不出水，师傅已上门,净化水不出,更好复合滤芯
WO0018203550,质量工单,Rule A.3: 核心部件更换,保内,2024-08-12 14:46:46,,2024-12-25,净水设备 反渗透厨下式净水机，J3451-ROC60，中框棕+月光石灰,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",不通电，师傅已上门,不通电,更换电源
WO0018204165,质量工单,Rule A.3: 核心部件更换,保内,2022-06-17 10:22:25,2023-10-17,2023-10-16,A7 Lite，J2908-ROC60，内配PS1000，2020防伪款，带后置炭，白色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",不出水，重启无效，保内,不出水,换电源适配器
WO0018204754,质量工单,Rule A.3: 核心部件更换,保内,2022-12-16 09:21:51,2023-09-17,2023-09-17,A7 Lite，J2908-ROC60，内配PS1000，2020防伪款，带后置炭，白色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","客户留言:不通电
故障类型：电气故障",不通电,更换新料
WO0018211168,质量工单,Rule A.3: 核心部件更换,保内,2022-07-27 18:50:06,2023-08-21,2023-08-21,S5a，J2871-ROB60，白色+灰色,消费者事业部,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",净水机,电气类,,上门维修,"电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)","电源适配器 J1205-ROB40C,CCC，140*60*31mm,输入端：220V 线长300mm，输出端：DC24V 4.0A 线长1200mm,含DC插头(黑色)",故障类型：电气故障,不通电,
WO0018211550,质量工单,Rule 8.3: 有故障且非简单维护,保内,2024-07-25 13:29:44,,2024-08-05,"饮水机 立式制热单温机,Y1351LK-C(单温),水厂渠道专供(白01-02)",商用事业部,"自动复位温控器 86℃,KSD301,250V/10A,3C(白色)",饮水机,电气类,,上门维修,"自动复位温控器 86℃,KSD301,250V/10A,3C(白色)","自动复位温控器 86℃,KSD301,250V/10A,3C(白色)",15223406937 服务商代报维修，不加热,不加热,换温控制
